code,term
d122.,Heminevrin 250mg/5mL syrup
d123.,Heminevrin 8mg/mL infusion
d12v.,Clomethiazole 192mg capsule
d17..,Lormetazepam
d171.,Lormetazepam 500micrograms tablet
d172.,Lormetazepam 1mg tablet
d173.,Noctamid 500micrograms tablet
d174.,Noctamid 1mg tablet
d181.,Nitrazepam 5mg capsule
d182.,Nitrazepam 5mg tablet
d183.,Nitrazepam 10mg tablet
d184.,Nitrazepam 2.5mg/5mL suspension
d185.,Mogadon 5mg capsule
d186.,Mogadon 5mg tablet
d187.,Nitrados 5mg tablet
d188.,Noctesed 5mg tablet
d189.,Remnos 5mg tablet
d18a.,Remnos 10mg tablet
d18b.,Somnite 5mg tablet
d18c.,Somnite 2.5mg/5mL suspension
d18d.,Surem 5mg capsule
d18e.,Unisomnia 5mg tablet
d18f.,Nitrazepam 5mg/5mL suspension
d1a1.,Temazepam 10mg capsule
d1a2.,Temazepam 15mg capsule
d1a4.,Temazepam 30mg capsule
d1a5.,Temazepam 10mg/5mL oral solution
d1a6.,Normison 10mg capsule
d1a7.,Normison 20mg capsule
d1a8.,Temazepam Planpak capsule
d1a9.,Temazepam 10mg tablet
d1aa.,Temazepam 20mg tablet
d1ab.,Temazepam Gelthix 10mg capsule
d1ac.,Temazepam Gelthix 20mg capsule
d1ad.,Temazepam Gelthix 15mg capsule
d1ae.,Temazepam Gelthix 30mg capsule
d1af.,Temazepam 10mg thick gel capsule
d1ag.,Temazepam 20mg thick gel capsule
d1ah.,Temazepam 15mg thick gel capsule
d1ai.,Temazepam 30mg thick gel capsule
d1aj.,Temazepam 10mg/sachet oral solution
d1al.,Euhypnos 10mg/sachet oral solution
d1am.,Euhypnos 20mg/sachet oral solution
d1an.,Euhypnos 10mg/5mL oral solution
d1ao.,Temazepam 10mg/5mL s/f oral solution
d1d..,Zopiclone
d1d1.,Zopiclone 7.5mg tablet
d1d2.,Zimovane 7.5mg tablet
d1d3.,Zopiclone 3.75mg tablet
d1d4.,Zimovane LS 3.75mg tablet
d1d5.,Zileze 7.5 tablet
d1d6.,Zileze 3.75 tablet
d1f..,Zolpidem
d1f1.,Stilnoct 5mg tablet
d1f2.,Zolpidem tartrate 5mg tablet
d1f3.,Zolpidem tartrate 10mg tablet
d1f4.,Stilnoct 10mg tablet
d1g..,Zaleplon
d1g1.,Sonata 5mg capsule
d1g2.,Sonata 10mg capsule
d1gy.,Zaleplon 5mg capsule
d1gz.,Zaleplon 10mg capsule
d211.,Diazepam 2mg capsule
d212.,Diazepam 5mg capsule
d213.,Diazepam 2mg tablet
d214.,Diazepam 5mg tablet
d215.,Diazepam 10mg tablet
d217.,Alupram 2mg tablet
d218.,Alupram 5mg tablet
d219.,Alupram 10mg tablet
d21B.,Rimapam 2mg tablet
d21C.,Rimapam 5mg tablet
d21D.,Rimapam 10mg tablet
d21c.,Atensine 10mg tablet
d21e.,Evacalm 2mg tablet
d21f.,Evacalm 5mg tablet
d21g.,Solis 2mg capsule
d21h.,Solis 5mg capsule
d21m.,Tensium 2mg tablet
d21n.,Tensium 5mg tablet
d21o.,Tensium 10mg tablet
d21p.,Valium 2mg capsule
d21q.,Valium 5mg capsule
d21r.,Valium 2mg tablet
d21s.,Valium 5mg tablet
d21t.,Valium 10mg tablet
d21u.,Valium 2mg/5mL syrup
d22..,Alprazolam
d221.,Xanax 250mcg tablet
d222.,Xanax 500mcg tablet
d22y.,Alprazolam 250micrograms tablet
d22z.,Alprazolam 500micrograms tablet
d249.,Librium 5mg capsule
d24a.,Librium 10mg capsule
d24b.,Librium 5mg tablet
d24c.,Librium 10mg tablet
d24d.,Librium 25mg tablet
d24e.,Librium 100mg injection
d2a..,Lorazepam [anxiolytic]
d2a1.,Lorazepam 1mg tablet
d2a2.,Lorazepam 2.5mg tablet
d2a3.,Almazine 1mg tablet
d2a4.,Almazine 2.5mg tablet
d2a5.,Ativan 1mg tablet
d2a6.,Ativan 2.5mg tablet
d2a7.,Ativan 4mg/1mL injection
d2az.,Lorazepam 4mg/1mL injection
d2c2.,Meprobamate 400mg tablet
d2c4.,Equanil 400mg tablet
d2c5.,Meprate 400mg tablet
d2d1.,Oxazepam 30mg capsule
d2d2.,Oxazepam 10mg tablet
d2d3.,Oxazepam 15mg tablet
d2d4.,Oxazepam 30mg tablet
d2d5.,Oxanid 10mg tablet
d2d7.,Oxanid 30mg tablet
d2f..,Buspirone hydrochloride
d2f1.,Buspirone hydrochloride 5mg tablet
d2f2.,Buspar 5mg tablet
d2f3.,Buspar 5mg tablets x126
d2f4.,Buspar 10mg tablet
d2f5.,Buspirone hydrochloride 10mg tablet
d7e1.,Molipaxin 50mg capsules x84CP
d7e2.,Molipaxin 100mg capsules x56CP
d7e3.,Molipaxin 50mg/5mL liquid
d7e4.,Molipaxin 150mg tablets x28CP
d7e5.,Trazodone hydrochloride 150mg tablet
d7e6.,Molipaxin CR 150mg m/r tablets x28
d7e7.,Trazodone hydrochloride 150mg m/r tablet
d7ew.,Trazodone hydrochloride 100mg capsule
d7ex.,Trazodone hydrochloride 50mg capsule
d7ez.,Trazodone hydrochloride 50mg/5mL liquid
do41.,Ativan [ep] 4mg/mL injection
x00E4,Molipaxin 50mg capsule
x00E5,Molipaxin 100mg capsule
x00fa,Molipaxin 150mg tablet
x00fb,Molipaxin CR 150mg tablet
x01BD,Oral lorazepam
x01BE,Parenteral lorazepam
x01BH,Buspirone
x02Ui,Ativan
x02WF,Buspar
x02eb,Heminevrin
x02hT,Librium
x02jk,Mogadon
x02jl,Molipaxin
x02lI,Normison
x02pI,Remnos
x02rF,Somnite
x02ra,Stilnoct
x02uj,Xanax
x02v0,Zimovane
x03ha,Zimovane LS
x03sq,Molipaxin CR
x04bE,Zileze 3.75
x04bF,Zileze 7.5
x056Q,Sonata
x05KZ,Alprazolam - chemical
