code,term
d71..,Amitriptyline hydrochloride [antidepressant]
d711.,Amitriptyline hydrochloride 10mg tablet
d712.,Amitriptyline hydrochloride 25mg tablet
d713.,Amitriptyline hydrochloride 50mg tablet
d714.,Domical 10mg tablet
d715.,Domical 25mg tablet
d716.,Domical 50mg tablet
d717.,Elavil 10mg tablet
d718.,Elavil 25mg tablet
d719.,Lentizol 25mg m/r capsule
d71a.,Lentizol 50mg m/r capsule
d71b.,Tryptizol 75mg m/r capsule
d71c.,Tryptizol 10mg tablet
d71d.,Tryptizol 25mg tablet
d71e.,Tryptizol 50mg tablet
d71f.,Tryptizol 10mg/5mL mixture
d71g.,Tryptizol 100mg/10mL injection
d71h.,Amitriptyline 25mg/5mL s/f oral solution
d71i.,Amitriptyline 50mg/5mL s/f oral solution
d71j.,AMITRIPTYLINE 10mg/5mL sugar free oral solution
d71u.,Amitriptyline hydrochloride 25mg m/r capsule
d71v.,Amitriptyline hydrochloride 50mg m/r capsule
d71w.,Amitriptyline hydrochloride 75mg m/r capsule
d71y.,Amitriptyline 10mg/5mL oral suspension
d71z.,Amitriptyline hydrochloride 100mg/10mL injection
d73..,Clomipramine hydrochloride
d731.,Anafranil 10mg capsule
d732.,Anafranil 25mg capsule
d733.,Anafranil 50mg capsule
d734.,Anafranil 25mg/5mL syrup
d735.,Anafranil 25mg/2mL injection
d736.,Anafranil SR 75mg tablet
d737.,Tranquax 10mg capsule
d738.,Tranquax 25mg capsule
d739.,Tranquax 50mg capsule
d73r.,Clomipramine hydrochloride 50mg tablet
d73s.,Clomipramine hydrochloride 10mg tablet
d73t.,Clomipramine hydrochloride 25mg tablet
d73u.,Clomipramine hydrochloride 10mg capsule
d73v.,Clomipramine hydrochloride 25mg capsule
d73w.,Clomipramine hydrochloride 50mg capsule
d73x.,Clomipramine hydrochloride 25mg/5mL syrup
d73y.,Clomipramine hydrochloride 25mg/2mL injection
d73z.,Clomipramine hydrochloride 75mg m/r tablet
d75..,Dothiepin hydrochloride
d751.,Prothiaden 25mg capsule
d752.,Prothiaden 75mg tablet
d753.,Prepadine 25mg capsule
d754.,Prepadine 75mg tablet
d755.,Dothapax 25mg capsule
d756.,Dothapax 75mg tablet
d757.,Dosulepin hydrochloride 25mg/5mL s/f elixir
d758.,Dosulepin hydrochloride 75mg/5mL s/f elixir
d759.,Thaden 25mg capsule
d75A.,Thaden 75mg tablet
d75y.,Dosulepin hydrochloride 25mg capsule
d75z.,Dosulepin hydrochloride 75mg tablet
d76..,Doxepin
d761.,Sinequan 10mg capsules x56CP
d762.,Sinequan 25mg capsules x28CP
d763.,Sinequan 50mg capsules x28CP
d764.,Sinequan 75mg capsules x28CP
d765.,SINEPIN 25mg capsules
d766.,SINEPIN 50mg capsules
d76w.,Doxepin 10mg capsule
d76x.,Doxepin 25mg capsule
d76y.,Doxepin 50mg capsule
d76z.,Doxepin 75mg capsule
d77..,Imipramine hydrochloride [antidepressant]
d771.,Imipramine hydrochloride 10mg tablet
d772.,Imipramine hydrochloride 25mg tablet
d773.,Praminil 10mg tablet
d774.,Praminil 25mg tablet
d775.,Tofranil 10mg tablet
d776.,Tofranil 25mg tablet
d777.,Tofranil 25mg/5mL syrup
d77w.,IMIPRAMINE HYDROCHLORIDE 25mg/5mL oral solution
d77z.,Imipramine hydrochloride 25mg/5mL syrup
d79..,Lofepramine
d791.,Gamanil 70mg tablets x56CP
d792.,Lomont 70mg/5mL s/f suspension
d793.,Feprapax 70mg tablet
d794.,Gamanil 70mg tablet
d79y.,Lofepramine 70mg/5mL s/f suspension
d79z.,Lofepramine 70mg tablet
d7b..,Mianserin hydrochloride
d7b1.,Mianserin hydrochloride 10mg tablet
d7b2.,Mianserin hydrochloride 20mg tablet
d7b3.,Mianserin hydrochloride 30mg tablet
d7b4.,Bolvidon 10mg tablet
d7b5.,Bolvidon 20mg tablet
d7b6.,Bolvidon 30mg tablet
d7b7.,Norval 10mg tablet
d7b8.,Norval 20mg tablet
d7b9.,Norval 30mg tablet
d7c..,Nortriptyline
d7c1.,Allegron 10mg tablet
d7c2.,Allegron 25mg tablet
d7c3.,Aventyl 10mg capsule
d7c4.,Aventyl 25mg capsule
d7c5.,Aventyl 10mg/5mL liquid
d7c6.,Nortriptyline 10mg tablet
d7c7.,Nortriptyline 10mg/5mL liquid
d7c8.,Nortriptyline 25mg tablet
d7c9.,Nortriptyline 10mg capsule
d7cy.,Nortriptyline 25mg capsule
d7e..,Trazodone hydrochloride
d7e1.,Molipaxin 50mg capsules x84CP
d7e2.,Molipaxin 100mg capsules x56CP
d7e3.,Molipaxin 50mg/5mL liquid
d7e4.,Molipaxin 150mg tablets x28CP
d7e5.,Trazodone hydrochloride 150mg tablet
d7e6.,Molipaxin CR 150mg m/r tablets x28
d7e7.,Trazodone hydrochloride 150mg m/r tablet
d7ew.,Trazodone hydrochloride 100mg capsule
d7ex.,Trazodone hydrochloride 50mg capsule
d7ez.,Trazodone hydrochloride 50mg/5mL liquid
d7f..,Trimipramine
d7f1.,Surmontil 50mg capsules x28CP
d7f2.,Surmontil 10mg tablet
d7f3.,Surmontil 25mg tablet
d7fx.,Trimipramine 50mg capsule
d7fy.,Trimipramine 10mg tablet
d7fz.,Trimipramine 25mg tablet
d81..,Phenelzine
d811.,Nardil 15mg tablet
d81z.,Phenelzine 15mg tablet
d83..,Isocarboxazid
d831.,Marplan 10mg tablet
d83z.,Isocarboxazid 10mg tablet
d84..,Tranylcypromine
d841.,Parnate 10mg tablet
d84z.,Tranylcypromine 10mg tablet
d85..,Moclobemide
d851.,Manerix 150mg tablet
d852.,Moclobemide 150mg tablet
d853.,Manerix 300mg tablet
d854.,Moclobemide 300mg tablet
d911.,Limbitrol-5 capsule
d912.,Limbitrol 10 capsule
d914.,Motival tablet
d915.,Parstelin tablet
d916.,Triptafen tablet
d917.,Triptafen-M tablet
d91A.,Fluphenazine HCl+nortriptyline 500micrograms/10mg tablet
d91B.,Tranylcypromine+trifluoperazine 10mg/1mg tablet
da11.,Fluanxol 500micrograms tablet
da12.,Fluanxol 1mg tablet
da21.,Optimax 500mg tablet
da22.,Optimax 1g/6g powder
da23.,Optimax WV 500mg tablets
da24.,Pacitron 500mg tablet
da2y.,Tryptophan 500mg tablet
da3..,Fluvoxamine maleate
da31.,Faverin 50mg tablet
da32.,Fluvoxamine maleate 50mg tablet
da33.,Faverin 100mg tablet
da34.,Fluvoxamine maleate 100mg tablet
da4..,Fluoxetine hydrochloride
da41.,Fluoxetine 20mg capsule
da42.,Prozac 20mg capsules x30
da43.,Fluoxetine 20mg/5mL oral liquid
da44.,Prozac 20mg/5mL liquid
da45.,Prozac 20mg capsule
da46.,Fluoxetine 60mg capsule
da47.,Prozac 60mg capsule
da48.,Felicium 20mg capsule
da49.,Oxactin 20mg capsule
da4A.,Ranflutin 20mg capsule
da4B.,Prozit 20mg/5mL oral solution
da4C.,PROZEP 20mg/5mL oral solution
da4D.,OLENA 20mg dispersible tablets
da4E.,FLUOXETINE 20mg dispersible tablets
da5..,Sertraline
da51.,Sertraline 50mg tablet
da52.,Sertraline 100mg tablet
da53.,Lustral 50mg tablet
da54.,Lustral 100mg tablet
da6..,Paroxetine
da61.,Paroxetine 20mg tablet
da62.,Seroxat 20mg tablets x30
da63.,Paroxetine 30mg tablet
da64.,Seroxat 30mg tablets x30
da65.,Paroxetine 10mg/5mL s/f liquid
da66.,Seroxat 10mg/5mL s/f liquid
da67.,PAROXETINE 10mg tablets
da68.,SEROXAT 10mg tablets
da7..,Venlafaxine
da71.,Venlafaxine 37.5mg tablet
da72.,Venlafaxine 75mg tablet
da73.,Efexor 37.5mg tablet
da74.,Efexor 75mg tablet
da75.,Venlafaxine 50mg tablet
da76.,Efexor 50mg tablet
da77.,Venlafaxine 75mg m/r capsule
da78.,Efexor XL 75mg m/r capsule
da79.,Venlafaxine 150mg m/r capsule
da7A.,Efexor XL 150mg m/r capsule
da7B.,RODOMEL XL 75mg m/r capsules
da7C.,RODOMEL XL 150mg m/r capsules
da7D.,WINFEX XL 75mg m/r capsules
da7E.,WINFEX XL 150mg m/r capsules
da7F.,TRIXAT XL 75mg m/r capsules
da7G.,TRIXAT XL 150mg m/r capsules
da7H.,VIEPAX XL 75mg m/r tablets
da7I.,VENLAFAXINE 75mg m/r tablets
da7J.,VIEPAX XL 150mg m/r tablets
