code,coding_system,description,entity,list_name,upload_date
d7..,Read,tricylcic antidepressants ,drug,637 - res55: antidepressant,2017-03-15
d71..,Read,amitriptyline hcl [antidepres],drug,637 - res55: antidepressant,2017-03-15
d72..,Read,butriptyline,drug,637 - res55: antidepressant,2017-03-15
d73..,Read,clomipramine hydrochloride,drug,637 - res55: antidepressant,2017-03-15
d74..,Read,desipramine,drug,637 - res55: antidepressant,2017-03-15
d75..,Read,dosulepin hydrochloride,drug,637 - res55: antidepressant,2017-03-15
d76..,Read,doxepin,drug,637 - res55: antidepressant,2017-03-15
d77..,Read,imipramine hcl [antidepress],drug,637 - res55: antidepressant,2017-03-15
d78..,Read,iprindole,drug,637 - res55: antidepressant,2017-03-15
d79..,Read,lofepramine,drug,637 - res55: antidepressant,2017-03-15
d7a..,Read,maprotiline,drug,637 - res55: antidepressant,2017-03-15
d7b..,Read,mianserin hydrochloride,drug,637 - res55: antidepressant,2017-03-15
d7c..,Read,nortriptyline,drug,637 - res55: antidepressant,2017-03-15
d7d..,Read,protriptyline,drug,637 - res55: antidepressant,2017-03-15
d7e..,Read,trazodone hydrochloride,drug,637 - res55: antidepressant,2017-03-15
d7f..,Read,trimipramine,drug,637 - res55: antidepressant,2017-03-15
d7g..,Read,viloxazine,drug,637 - res55: antidepressant,2017-03-15
d7h..,Read,amoxapine,drug,637 - res55: antidepressant,2017-03-15
d8..,Read,monoamine-oxidase inhibitors,drug,637 - res55: antidepressant,2017-03-15
d81..,Read,phenelzine,drug,637 - res55: antidepressant,2017-03-15
d82..,Read,iproniazid,drug,637 - res55: antidepressant,2017-03-15
d83..,Read,isocarboxazid,drug,637 - res55: antidepressant,2017-03-15
d84..,Read,tranylcypromine,drug,637 - res55: antidepressant,2017-03-15
d85..,Read,moclobemide,drug,637 - res55: antidepressant,2017-03-15
d9..,Read,compound antidepressant drugs,drug,637 - res55: antidepressant,2017-03-15
da..,Read,other antidepressant drugs,drug,637 - res55: antidepressant,2017-03-15
da2..,Read,tryptophan,drug,637 - res55: antidepressant,2017-03-15
da3..,Read,fluvoxamine maleate,drug,637 - res55: antidepressant,2017-03-15
da4..,Read,fluoxetine hydrochloride,drug,637 - res55: antidepressant,2017-03-15
da5..,Read,sertraline hydrochloride,drug,637 - res55: antidepressant,2017-03-15
da6..,Read,paroxetine hydrochloride,drug,637 - res55: antidepressant,2017-03-15
da7..,Read,venlafaxine,drug,637 - res55: antidepressant,2017-03-15
da8.,Read,nefazodone,drug,637 - res55: antidepressant,2017-03-15
da9..,Read,citalopram,drug,637 - res55: antidepressant,2017-03-15
daA..,Read,reboxetine,drug,637 - res55: antidepressant,2017-03-15
daB..,Read,mirtazapine,drug,637 - res55: antidepressant,2017-03-15
daC..,Read,escitalopram,drug,637 - res55: antidepressant,2017-03-15
daD..,Read,agomelatine,drug,637 - res55: antidepressant,2017-03-15
daE.,Read,vortioxetine,drug,637 - res55: antidepressant,2017-03-15
gd1..,Read,*amitriptyline hcl [enuresis],drug,637 - res55: antidepressant,2017-03-15
gd5..,Read,*imipramine hcl [enuresis],drug,637 - res55: antidepressant,2017-03-15
gde..,Read,duloxetine,drug,637 - res55: antidepressant,2017-03-15
