code,coding_system,description,entity,list_name,upload_date
d4..,Read,antipsychotric drugs,drug,638 - res55: antipsychotic,2017-03-15
d41..,Read,chlorpromazine hydrochloride,drug,638 - res55: antipsychotic,2017-03-15
d42..,Read,benperidol,drug,638 - res55: antipsychotic,2017-03-15
d43..,Read,chlorprothixene,drug,638 - res55: antipsychotic,2017-03-15
d45..,Read,flupentixol [antipsychotic],drug,638 - res55: antipsychotic,2017-03-15
d46..,Read,fluphenazine hydrochloride,drug,638 - res55: antipsychotic,2017-03-15
d47..,Read,haloperidol [antipsychotic],drug,638 - res55: antipsychotic,2017-03-15
d48..,Read,levomepromazine,drug,638 - res55: antipsychotic,2017-03-15
d49..,Read,oxypertine,drug,638 - res55: antipsychotic,2017-03-15
d4a..,Read,pericyazine,drug,638 - res55: antipsychotic,2017-03-15
d4b..,Read,perphenazine [cns],drug,638 - res55: antipsychotic,2017-03-15
d4c..,Read,pimozide,drug,638 - res55: antipsychotic,2017-03-15
d4d..,Read,*prochlorperazine [antipsych],drug,638 - res55: antipsychotic,2017-03-15
d4e..,Read,promazine hydrochloride,drug,638 - res55: antipsychotic,2017-03-15
d4f..,Read,sulpiride,drug,638 - res55: antipsychotic,2017-03-15
d4g..,Read,thioridazine,drug,638 - res55: antipsychotic,2017-03-15
d4h..,Read,trifluoperazine [antipsychotic,drug,638 - res55: antipsychotic,2017-03-15
d4i..,Read,trifluperidol,drug,638 - res55: antipsychotic,2017-03-15
d4j..,Read,zuclopenthixol dihydrochloride,drug,638 - res55: antipsychotic,2017-03-15
d4k..,Read,loxapine succinate,drug,638 - res55: antipsychotic,2017-03-15
d4l..,Read,clozapine,drug,638 - res55: antipsychotic,2017-03-15
d4m..,Read,remoxipride,drug,638 - res55: antipsychotic,2017-03-15
d4n..,Read,zuclopenthixol acetate,drug,638 - res55: antipsychotic,2017-03-15
d4p..,Read,risperidone,drug,638 - res55: antipsychotic,2017-03-15
d4q..,Read,sertindole,drug,638 - res55: antipsychotic,2017-03-15
d4r..,Read,olanzapine,drug,638 - res55: antipsychotic,2017-03-15
d4s..,Read,quetiapine,drug,638 - res55: antipsychotic,2017-03-15
d4t..,Read,amisulpride,drug,638 - res55: antipsychotic,2017-03-15
d4u..,Read,zotepine,drug,638 - res55: antipsychotic,2017-03-15
d4v..,Read,aripiprazole,drug,638 - res55: antipsychotic,2017-03-15
d4w..,Read,paliperidone,drug,638 - res55: antipsychotic,2017-03-15
d4x..,Read,asenapine,drug,638 - res55: antipsychotic,2017-03-15
d5..,Read,antipsychotic depot injections,drug,638 - res55: antipsychotic,2017-03-15
d51..,Read,flupentixol decanoate,drug,638 - res55: antipsychotic,2017-03-15
d52..,Read,fluphenazine decanoate,drug,638 - res55: antipsychotic,2017-03-15
d53..,Read,*fluphenazine enanthate,drug,638 - res55: antipsychotic,2017-03-15
d54..,Read,fluspirilene ,drug,638 - res55: antipsychotic,2017-03-15
d55..,Read,haloperidol decanoate,drug,638 - res55: antipsychotic,2017-03-15
d56..,Read,pipotiazine palmitate,drug,638 - res55: antipsychotic,2017-03-15
d57..,Read,zuclopenthixol decanoate,drug,638 - res55: antipsychotic,2017-03-15
d58..,Read,olanzapine pamoate,drug,638 - res55: antipsychotic,2017-03-15
da1..,Read,flupentixol [antidepressant],drug,638 - res55: antipsychotic,2017-03-15
dh2..,Read,*chlorpromazine hcl [nausea],drug,638 - res55: antipsychotic,2017-03-15
dhd..,Read,*perphenazine [no drugs here],drug,638 - res55: antipsychotic,2017-03-15
dher.,Read,prochlorperazine 5mg tablets,drug,638 - res55: antipsychotic,2017-03-15
dhes.,Read,prochlorperazine 25mg tablets,drug,638 - res55: antipsychotic,2017-03-15
dhey.,Read,prochlorperazine 10mg m/r capsules,drug,638 - res55: antipsychotic,2017-03-15
dhez.,Read,prochlorperazine 15mg m/r capsules,drug,638 - res55: antipsychotic,2017-03-15
dhi..,Read,*trifluoperazine [nausea],drug,638 - res55: antipsychotic,2017-03-15
ds1..,Read,*haloperidol [tics; chorea],drug,638 - res55: antipsychotic,2017-03-15
o52..,Read,chlorpromazine hcl [anaesth],drug,638 - res55: antipsychotic,2017-03-15
o58..,Read,*perphenazine [anaesthesia],drug,638 - res55: antipsychotic,2017-03-15
