id,term
K0323,Anaphylactoid glomerulonephritis
SN50.,Systemic anaphylaxis
SN500,Food-induced anaphylactoid reaction
SN501,Anaphyl shock due adv eff correct drug/med properly admin
SP34.,Anaphylactic shock due to serum
X208h,Anaphylactoid shock
X30Lt,Anaphylactoid reaction to dialysis
X70vi,Venom-induced anaphylaxis
X70vj,Bee sting-induced anaphylaxis
X70vk,Wasp sting-induced anaphylaxis
X70vl,Blood product-induced anaphylaxis
X70vm,Food-induced anaphylaxis
X70vn,Peanut-induced anaphylaxis
X70vo,Seafood-induced anaphylaxis
X70vp,Egg white-induced anaphylaxis
X70vq,Cow's milk protein-induced anaphylaxis
X70vr,Drug-induced anaphylaxis
X70vs,Penicillin-induced anaphylaxis
X70vt,Insulin-induced anaphylaxis
X70vu,Human protein-induced anaphylaxis
X70vv,Seminal fluid-induced anaphylaxis
X70vw,Aeroallergen-induced anaphylaxis
X70vy,Blood and blood product-induced anaphylactoid reaction
X70vz,Whole blood-induced anaphylactoid reaction
X70w0,Immunoglobulin-induced anaphylactoid reaction
X70w1,Food-induced anaphylactoid reaction
X70w2,Drug-induced anaphylactoid reaction
X70w3,NSAID-induced anaphylactoid reaction
X70w4,Aspirin-induced anaphylactoid reaction
X70w5,Ionic compound-induced anaphylactoid reaction
X70w6,Dialysis membrane-induced anaphylactoid reaction
X70w7,Exercise anaphylaxis
X70w8,Cholinergic anaphylactoid reaction
X70w9,Idiopathic anaphylaxis
XE1BR,Allergic urticaria
XaG0G,[V]Personal history of food induced anaphylaxis
XaL31,H/O: anaphylactic shock
XaZmp,Anaphylactoid reaction due to haemodialysis
