id,term
13WB.,Maternal: [concern] or [anxiety]
1B1..,General nervous symptoms
1B11.,No nervous symptoms
1B12.,"[""Nerves""] or [nervousness] or [nervous tension]"
1B13.,Anxiousness (& symptom)
1B1H.,(Fear) or (frightened) or (apprehension)
1B1Z.,General nervous symptom NOS
E200.,Anxiety disorder
E2000,Anxiety state unspecified
E2002,Generalised anxiety disorder
E2004,Chronic anxiety
E2005,Recurrent anxiety
E200z,Anxiety state NOS
E202.,Phobic disorders (& [social] or [phobic anxiety])
E2020,Phobia unspecified
E2021,Agoraphobia with panic attacks
E2022,Agoraphobia without mention of panic attacks
E2023,"Social phobia, fear of eating in public"
E2024,"Social phobia, fear of public speaking"
E2025,"Social phobia, fear of public washing"
E2026,Acrophobia
E2027,Animal phobia
E2028,Claustrophobia
E2029,Fear of crowds
E202A,Fear of flying
E202B,Cancer phobia
E202C,Dental phobia
E202E,Fear of pregnancy
E2920,Separation anxiety disorder
Eu40.,[X]Phobic anxiety disorders
Eu400,[X]Agoraphobia (& [no hist panic disord][with panic disord])
Eu402,[X]Specif (isol) phobia (& [acro][animal][claustro][simple])
Eu40y,[X]Other phobic anxiety disorders
Eu40z,"[X]Phobic anxiety disorder, unspecified"
Eu41.,[X]Other anxiety disorders
Eu410,[X]Panic disorder [episodic paroxysmal anxiety]
Eu412,[X]Mixed anxiety and depress disord (& mild anxiet depressn)
Eu413,[X]Other mixed anxiety disorders
Eu41y,[X] Anxiety disord: [other specified] or [anxiety hysteria]
Eu41z,"[X]Anxiety disorder, unspecified"
Eu515,[X] Nightmares or dream anxiety disorder
Eu930,[X]Separation anxiety disorder of childhood
Ua1Fo,Recognising anxiety (InPS+developmental)
Ua1Fp,Acknowledging anxiety
Ua1qS,Panic attack
Ua1qU,Fear of walking
Ua1qV,Fear of mobilising
Ua1qW,Fear of disconnection from ventilator
Ua1qX,Fear of being left alone during period of dependence
Ua1qY,Fear of being left alone
Ua1qa,Fear of dentist
Ua1qc,Fear of not coping with treatment
Ua1qd,Fear of lifts
Ua1qe,Fear of thunderstorm
Ua1qf,Terrified
Ua1qg,Anxiety about treatment
Ua1qh,Anxiety about forced dependence
Ua1qi,Anxiety about loss of control
Ua1qj,Anxiety about resuming sexual relations
Ua1qk,Worried about not coping with baby
Ua1ql,Worried about being a bad father
Ua1qm,Worried about being a bad mother
Ua1qn,Anxiety about not coping with parenthood
Ua1qo,Anxiety about making mistakes
Ua1qp,Anxiety about altered body image
Ua1qs,Fear of wetting self in public
Ua1qt,Fear of losing control of bowels in public
Ua2Dl,Alleviating anxiety
Ub0qs,Anxiety management training
X00RP,Organic anxiety disorder
X00SV,Agoraphobia
X00SW,Social phobia
X00SX,Specific phobia
X00SY,Needle phobia
X00SZ,Situational panic attack
X00Sa,Non-situational panic attack
X00Sb,Mixed anxiety and depressive disorder
X00Sc,Anxiety hysteria
X00Sd,Stage fright
X00Se,Examination fear
X761N,Anxiety and fear
X761P,Ill-at-ease
X761T,Anxiety about body function or health
X761U,Fear of losing control of bowels
X761V,Fear of wetting self
X761W,Fear of vomiting in public
X761X,Fear of having a fit
X761Y,Fear of choking
X761Z,Anxiety about blushing
X761a,Fear of swallowing
X761b,Fear of collapsing
X761c,Fear of fainting
X761d,Fear of having a heart attack
X761e,Fear of shaking
X761f,Fear of sweating
X761g,Fear of dying
X761h,Fear of going crazy
X761i,Fear of losing emotional control
X761j,Fear of becoming fat
X761k,Anxiety about behaviour or performance
X761l,Fear of appearing ridiculous
X761m,Fear of saying the wrong thing
X761n,Fear of going out
X761p,Fear of empty streets
X761q,Fear of open spaces
X761r,Fear of crossing streets
X761t,Fear of transport
X761u,Social fear
X761v,Fear of activities in public
X761w,Fear of eating in public
X761x,Fear of public speaking
X761y,Fear of using public toilets
X761z,Fear of writing in public
X7620,Fear of social group activities
X7621,Fear of being in a small group
X7622,Fear of social gatherings
X7623,Fear of speaking on the phone
X7624,Fear of speaking to people in authority
X7625,Fear of being laughed at
X7626,Fear of being watched
X7627,Specific fear
