id,term
14M1.,H/O: food allergy
SN581,Egg protein allergy
Xa1aX,Food allergy
Xa1nm,Egg allergy
Xa1nn,Cow's milk allergy
Xa1no,Peanut allergy
Xa1np,Seafood allergy
Xa2hN,Dietary education for food allergy
Xa7lI,Allergy to strawberries
Xa7lJ,Nut allergy
Xa7lN,Chocolate allergy
Xa7lO,Shellfish allergy
Xa7lP,Cheese allergy
XaOYT,Wheat allergy
XaPlY,Non-coeliac gluten sensitivity
XaQaY,Fish allergy
XaXYk,Mushroom allergy
XaYPH,Gluten sensitivity
Xaa0d,Allergy to soya
XabWn,Allergy to banana
Xad15,Allergy to tomato
Y06ac,Wheat Allergy
