id,term
.A22.,Pulmonary tuberculosis
A0222,Salmonella pneumonia
A054.,Amoebic lung abscess
A11..,Pulmonary tuberculosis
A110.,Infiltrative lung tuberculosis
A111.,Nodular lung tuberculosis
A112.,Tuberculosis of lung with cavitation
A113.,Tuberculosis of bronchus
A114.,Tuberculous fibrosis of lung
A115.,Tuberculous bronchiectasis
A116.,Tuberculous pneumonia
A117.,Tuberculous pneumothorax
A11y.,Other specified pulmonary tuberculosis
A11z.,Pulmonary tuberculosis NOS
A120.,Tuberculosis of pleura
A1202,Tuberculous hydrothorax
A120z,Tuberculous pleurisy NOS
A1220,Isolated tracheal tuberculosis
A1221,Isolated bronchial tuberculosis
A1240,TB lung confirm sputum microscopy with or without culture
A1241,"Tuberculosis of lung, confirmed by culture only"
A1242,"Tuberculosis of lung, confirmed histologically"
A1243,"Tuberculosis of lung, confirmed by unspecified means"
A1246,"Tuberculous pleurisy, conf bacteriologically/histologically"
A1251,Tuberculosis lung bact and histological examin not done
A203.,Primary pneumonic plague
A204.,Secondary pneumonic plague
A205.,"Pneumonic plague, unspecified"
A33y.,Whooping cough - other specified organism
A33yz,Other whooping cough NOS
A33z.,Whooping cough NOS
A3By1,Eaton's agent infection
A3By4,Mycoplasmal pneumonia
A521.,Chickenpox pneumonia
A73x.,Ornithosis with other specified complications
A73y.,Ornithosis with unspecified complications
A73z.,Unspecified Ornithosis
AB30.,Primary pulmonary coccidioidomycosis
AB405,Histoplasma capsulatum with pneumonia
AB415,Pulmonary African histoplasmosis
AB501,Primary pulmonary blastomycosis
AB504,Acute pulmonary blastomycosis
AB511,Pulmonary paracoccidioidomycosis
AD04.,Toxoplasma pneumonitis
Ayu39,[X]Whooping cough due to other Bordetella species
Ayu3A,"[X]Whooping cough, unspecified"
H06..,Acute bronchitis and bronchiolitis
H0603,Acute purulent bronchitis
H0606,Acute pneumococcal bronchitis
H0607,Acute streptococcal bronchitis
H0608,Acute haemophilus influenzae bronchitis
H0609,Acute Neisseria catarrhalis bronchitis
H060B,Acute coxsackievirus bronchitis
H060C,Acute parainfluenza virus bronchitis
H060D,Acute respiratory syncytial virus bronchitis
H060E,Acute bronchitis due to rhinovirus
H060F,Acute echovirus bronchitis
H060w,Acute viral bronchitis unspecified
H060x,Acute bacterial bronchitis unspecified
H061.,Acute bronchiolitis
H0610,Acute capillary bronchiolitis
H0611,Acute obliterating bronchiolitis
H0612,Acute bronchiolitis with bronchospasm
H0613,Acute exudative bronchiolitis
H0614,Obliterating fibrous bronchiolitis
H0615,Acute bronchiolitis due to respiratory syncytial virus
H0616,Acute bronchiolitis due to other specified organisms
H061z,Acute bronchiolitis NOS
H06z.,Acute bronchitis or bronchiolitis NOS
H06z0,Chest infection (& NOS)
H07..,Chest cold
H1yz0,Tracheal abscess
H2...,Pneumonia and influenza
H20..,Viral pneumonia (& chest infection)
H200.,Adenoviral pneumonia
H201.,Pneumonia due to respiratory syncytial virus
H202.,Parainfluenzal pneumonia
H20y.,Viral pneumonia NEC
H20z.,Viral pneumonia NOS
H21..,Pneumococcal pneumonia (& lobar)
H22..,Other bacterial pneumonia
H220.,Pneumonia due to Klebsiella pneumoniae
H221.,Pseudomonal pneumonia
H222.,Haemophilus influenzae pneumonia
H223.,Streptococcal pneumonia
H2230,Group B streptococcal pneumonia
H224.,Staphylococcal pneumonia
H22y.,Pneumonia due to other specified bacteria
H22y0,Escherichia coli pneumonia
H22y1,Proteus pneumonia
H22y2,Legionella pneumonia
H22yz,Pneumonia due to bacteria NOS
H22z.,Bacterial pneumonia NOS
H23..,Pneumonia due to other specified organisms
H231.,Mycoplasmal pneumonia
H232.,Pneumonia due to pleuropneumonia-like organism
H23z.,Pneumonia due to specified organism NOS
H24..,(Pneumonia) or (chest infection) with infectious diseases EC
H240.,Measles pneumonia
H241.,Cytomegalovirus pneumonia
H243.,Pertussis pneumonia
H244.,Tularaemia pneumonia
H245.,Anthrax pneumonia
H246.,Pneumonia with aspergillosis
