id,term
N330.,Osteoporosis
N3300,"Osteoporosis, unspecified"
N3301,Senile osteoporosis
N3302,Postmenopausal osteoporosis
N3303,Idiopathic generalised osteoporosis
N3304,Disuse osteoporosis
N3305,Drug-induced osteoporosis
N3306,Postoophorectomy osteoporosis
N3307,Post-surgical malabsorption osteoporosis
N3308,Localised osteoporosis - Lequesne
N3309,Osteoporosis in multiple myelomatosis
N330A,Osteoporosis in endocrine disorders
N330B,Vertebral osteoporosis
N330z,Osteoporosis NOS
N3312,Postoophorectomy osteoporosis with pathological fracture
N3313,Osteoporosis of disuse with pathological fracture
N3314,Post-surgical malabsorption osteoporosis with path fracture
N3315,Drug-induced osteoporosis with pathological fracture
N3316,Idiopathic osteoporosis with pathological fracture
N3318,Osteoporosis with pathological fracture of lumbar vertebrae
N3319,Osteoporosis with pathological fracture thoracic vertebrae
N331A,Osteoporosis with pathological fracture cervical vertebrae
N331B,Postmenopausal osteoporosis with pathological fracture
NyuB0,[X]Other osteoporosis with pathological fracture
NyuB1,[X]Other osteoporosis
NyuB2,[X]Osteoporosis in other disorders classified elsewhere
NyuB8,[X]Unspecified osteoporosis with pathological fracture
X70As,Idiopathic osteoporosis in pregnancy
X70At,Adult idiopathic generalised osteoporosis
X70Au,Juvenile idiopathic generalised osteoporosis
X70Av,Secondary generalised osteoporosis
X70Aw,Regional migrating osteoporosis
X70Ax,Transient osteoporosis of hip
X70Ay,Transient osteoporosis of hip in pregnancy
X70Az,Disappearing bone disease
X70B0,Secondary localised osteoporosis
X70B1,Post-irradiation osteoporosis
X78BC,Osteoporosis with pseudoglioma
XE1GA,Localised disuse osteoporosis
Xa0AZ,Primary osteoporosis
Xa1k0,Regional osteoporosis
XaC12,Osteoporosis localised to spine
XaD2s,Collapse of cervical vertebra due to osteoporosis
XaD4I,Collapse of lumbar vertebra due to osteoporosis
XaD4J,Collapse of thoracic vertebra due to osteoporosis
XaD4K,Collapse of vertebra due to osteoporosis NOS
XaIIp,Fragility fracture due to unspecified osteoporosis
XaIP4,Osteoporosis due to corticosteroids
XaISP,Osteoporosis monitoring administration
XaISQ,Attends osteoporosis monitoring
XaISR,Refuses osteoporosis monitoring
XaISS,Osteoporosis monitoring default
XaIST,Osteoporosis monitoring first letter
XaISU,Osteoporosis monitoring second letter
XaISV,Osteoporosis monitoring third letter
XaISW,Osteoporosis monitoring verbal invitation
XaISX,Osteoporosis monitoring telephone invitation
XaISY,Osteoporosis monitoring deleted
XaISZ,Osteoporosis monitoring check done
XaISa,Osteoporosis risk assessment done
XaISb,Osteoporosis risk assessment refused
XaISc,Osteoporosis risk assessment defaulted
XaISd,Osteoporosis monitoring
XaISe,Initial osteoporosis assessment
XaISf,Follow-up osteoporosis assessment
XaISg,Osteoporosis treatment started
XaISh,Osteoporosis treatment stopped
XaISi,Osteoporosis treatment changed
XaISj,Osteoporosis - no treatment
XaISk,Osteoporosis - dietary advice
XaISl,Osteoporosis - dietary assessment
XaISm,Osteoporosis - exercise advice
XaISn,Osteoporosis - falls prevention
XaISo,Osteoporosis - treatment response
XaISq,Osteoporosis - no treatment response
XaISr,Bone density scan due
XaISs,X-ray evidence of poor mineralisation
XaISt,Refer to osteoporosis specialist
XaISu,Refer for falls assessment
XaISx,Seen in osteoporosis clinic
XaJdn,Referral to osteoporosis clinic
XaQR9,Osteoporosis enhanced services administration
