code,term
1431.,H/O: hyperthyroidism
1432.,H/O: hypothyroidism
1433.,H/O: thyroid disorder NOS
4421.,(Thyroid hormone tests normal) or (euthyroid)
66B..,Thyroid disease monitoring
66B1.,Initial thyroid assessment
66B2.,Follow-up thyroid assessment
66B3.,Inactive thyroid disease
66B4.,Thyroid eye disease (&monitoring)
66B5.,Thyroid symptom change
66B6.,Thyroid drug side effects
66B7.,Thyroid - dubious diagnostic criteria
66B8.,Thyroid disease treatment changed
66B9.,Thyroid disease treatment started (& [thyroxine])
66BA.,Thyroid dis treatment stopped (& thyroxine)
66BZ.,Thyroid disease monitoring NOS
B53..,Malignant tumour of thyroid gland
B7G..,Benign neoplasm of thyroid gland (& adenoma)
B8yy0,Carcinoma in situ of thyroid
C0...,(Disorders of thyroid gland) or (struma - goitre)
C00..,Simple and unspecified goitre
C000.,Goitre: [simple][retrosternal][substernal][colloid][nodule]
C00z.,Thyroid: [enlargement] or [goitre NOS]
C01..,Non-toxic nodular goitre
C010.,Non-toxic uninodular goitre
C011.,Non-toxic multinodular goitre
C01z.,Goitre: [nodular NOS] or [adenomatous]
C02..,([Thyrotoxicosis] or [hyperthyroidism]) or (toxic goitre)
C020.,Toxic diffuse goitre (& [Basedow disease] or [Graves dis])
C0200,Toxic diffuse goitre with no crisis
C0201,Toxic diffuse goitre with crisis
C020z,Toxic diffuse goitre NOS
C021.,Toxic uninodular goitre
C0210,Toxic uninodular goitre with no crisis
C0211,Toxic uninodular goitre with crisis
C021z,Toxic uninodular goitre NOS
C022.,Toxic multinodular goitre
C0220,Toxic multinodular goitre with no crisis
C0221,Toxic multinodular goitre with crisis
C022z,Toxic multinodular goitre NOS
C023.,Toxic nodular goitre unspecified
C0230,Toxic nodular goitre unspecified with no crisis
C0231,Toxic nodular goitre unspecified with crisis
C023z,Toxic nodular goitre NOS
C024.,Thyrotoxicosis from ectopic thyroid nodule
C0240,Thyrotoxicosis from ectopic thyroid nodule with no crisis
C0241,Thyrotoxicosis from ectopic thyroid nodule with crisis
C024z,Thyrotoxicosis from ectopic thyroid nodule NOS
C02y.,Thyrotoxicosis: [other specified origin] or [factitia]
C02y0,Thyrotoxicosis of other specified origin with no crisis
C02y1,Thyrotoxicosis of other specified origin with crisis
C02yz,Thyrotoxicosis of other specified origin NOS
C02z.,Thyrotoxicosis without mention of goitre or other cause
C02z0,Thyrotoxicosis without mention of goitre or cause no crisis
C02z1,"Thyrotoxicosis without mention of goitre, cause with crisis"
C02zz,Thyrotoxicosis NOS
C03..,Congenital hypothyroidism
C030.,Pendred's syndrome
C03y.,Other specified congenital hypothyroidism
C03z.,Congenital hypothyroidism: [cretinism] or [NOS]
C04..,Hypothyroidism: &/or (acquired)
C040.,Hypothyroidism: [postsurgical] or [post ablative]
C041.,Other postablative hypothyroidism
C0410,Irradiation hypothyroidism
C041z,Postablative hypothyroidism NOS
C042.,Iodine hypothyroidism
C043.,Other iatrogenic hypothyroidism
C0430,Hypothyroidism resulting from para-aminosalicylic acid
C0431,Hypothyroidism resulting from phenylbutazone
C0432,Hypothyroidism resulting from resorcinol
C043z,Iatrogenic hypothyroidism NOS
C04y.,Other acquired hypothyroidism
C04z.,Hypothyroid (& [pretib myxoed][acq goitr][NOS][thyr insuf])
C04z0,Premature puberty due to hypothyroidism
C05..,Thyroiditis
C050.,Acute thyroiditis
C0500,Acute non-suppurative thyroiditis
C0501,Acute suppurative thyroiditis
C0502,Abscess of thyroid
C050z,Acute thyroiditis NOS
C051.,Subacute thyroiditis (& [de Quervain's])
C052.,Thyroiditis: [chron lymphocytic] or [autoimm] or [Hashimoto]
C053.,Thyroiditis: [chronic fibrous] or [Riedel's]
C054.,Iatrogenic thyroiditis
C05y.,Other and unspecified chronic thyroiditis
C05z.,Thyroiditis NOS
C06..,Other disorders of thyroid
C060.,Disorder of thyrocalcitonin secretion
C061.,Dyshormonogenic goitre
C062.,Thyroid cyst
C063.,Thyroid haemorrhage and infarction
C0630,Thyroid haemorrhage
C0631,Thyroid infarction
C063z,Thyroid haemorrhage or infarction NOS
C06y.,Other specified thyroid disorders
C06y0,Thyroid-binding globulin abnormality
C06y1,Thyroid atrophy
C06yz,Other specified thyroid disorder NOS
C06z.,Thyroid disorder NOS
C120.,Hyperparathyroidm (& [ost fibr cystica]/[Von Reck bone dis])
C1343,TSH deficiency
C1z31,Ectopic hyperparathyroidism
Cyu10,[X]Oth iodine-deficncy relatd thyroid disordr+allied condtns
Cyu11,[X]Other specified hypothyroidism
Cyu12,[X]Other specified non-toxic goitre
Cyu13,[X]Other thyrotoxicosis
Cyu14,[X]Other chronic thyroiditis
Cyu15,[X]Other specified disorders of thyroid
Cyu16,"[X]Iodine-deficiency-related (endemic) goitre, unspecified"
Cyu4J,[X]Disorders of thyroid gland in diseases CE
F3814,Myasthenic syndrome due to hypothyroidism
F4G2.,Dysthyroid ophthalmopathy
F4G20,Thyrotoxic exophthalmos
F4G21,Exophthalmic ophthalmoplegia
F4G2z,Endocrine exophthalmos NOS
L181.,Thyroid dysfunction in pregnancy/childbirth/puerperium
L1810,Thyroid dysfunction - unspec whether in pregnancy/puerperium
L1811,Thyroid dysfunction during pregnancy - baby delivered
L1812,Thyroid dysfunction in puerperium - baby delivered
L1813,Thyroid dysfunction in pregnancy - baby not yet delivered
L1814,Thyroid dysfunction in puerperium- baby previously delivered
