gprdmedcode,Read/OXMIS term,Read/OXMIS code,Charlson disease category,Charlson score weight
269783,HIV disease resulting in unspecified malignant neoplasm,A788W00,AIDS,6
287971,HIV disease resulting in multiple diseases CE,A788V00,AIDS,6
288057,[X]Human immunodeficiency virus disease,AyuC.00,AIDS,6
297182,HIV disease resulting in mycobacterial infection,A789000,AIDS,6
287970,Human immunodeficiency virus with neurological disease,A788400,AIDS,6
269885,[X]HIV disease resulting in other non-Hodgkin's lymphoma,AyuC600,AIDS,6
214964,HIV disease resulting/unspcf infectious disease,A788X00,AIDS,6
278850,Acquired human immunodeficiency virus infection syndrome NOS,A788z00,AIDS,6
260642,[X]HIV disease resulting in unspecified malignant neoplasm,AyuC900,AIDS,6
269883,[X]HIV disease resulting in multiple infections,AyuC300,AIDS,6
214965,HIV disease resulting in candidiasis,A789200,AIDS,6
214963,Human immunodeficiency virus with secondary infection,A788500,AIDS,6
242266,[X]HIV disease resulting in other bacterial infections,AyuC000,AIDS,6
288058,[X]Unspecified human immunodeficiency virus [HIV] disease,AyuCD00,AIDS,6
260643,[X]HIV disease resulting in other specified conditions,AyuCC00,AIDS,6
223991,HIV disease resulting in Burkitt's lymphoma,A789600,AIDS,6
224101,[X]HIV disease resulting in other mycoses,AyuC200,AIDS,6
297183,HIV disease resulting in lymphoid interstitial pneumonitis,A789900,AIDS,6
242169,Human immunodef virus resulting in other disease,A789.00,AIDS,6
278851,HIV disease resulting in wasting syndrome,A789A00,AIDS,6
215064,[X]HIV disease resulting in other viral infections,AyuC100,AIDS,6
287969,Human immunodeficiency virus with constitutional disease,A788300,AIDS,6
214962,Acquired immune deficiency syndrome,A788.00,AIDS,6
297295,"[X]HIV disease result/haematological???? abnorms,NEC",AyuCB00,AIDS,6
302909,AIDS,799MD,AIDS,6
287972,HIV disease resulting in cytomegaloviral disease,A789100,AIDS,6
214966,HIV disease resulting in Kaposi's sarcoma,A789500,AIDS,6
287968,HIV infection with persistent generalised lymphadenopathy,A788200,AIDS,6
233143,"HIV disease result/haematological???? abnorms,NEC",A788U00,AIDS,6
251350,Human immunodeficiency virus with other clinical findings,A788y00,AIDS,6
278849,Human immunodeficiency virus with secondary cancers,A788600,AIDS,6
228702,ACQUIRED IMMUNE DEFICIENCY SYNDROME,L7990A,AIDS,6
223990,HIV disease resulting in Pneumocystis carinii pneumonia,A789300,AIDS,6
260641,[X]HIV disease resulting/unspcf infectious??? disease,AyuC500,AIDS,6
269784,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc? tissu",A789X00,AIDS,6
215065,"[X]HIV dis reslt/oth mal neopl/lymph,h'matopoetc? tissu",AyuC700,AIDS,6
223989,Asymptomatic human immunodeficiency virus infection,A788100,AIDS,6
242267,[X]HIV disease resulting in other malignant neoplasms,AyuC800,AIDS,6
269884,[X]HIV disease resulting/other infectious??? diseases,AyuC400,AIDS,6
260551,HIV disease resulting in multiple infections,A789400,AIDS,6
205964,HIV disease resulting in multiple malignant neoplasms,A789800,AIDS,6
224102,[X]HIV disease resulting in multiple diseases CE,AyuCA00,AIDS,6
260663,Malignant neoplasm of lateral wall of nasopharynx,B072.00,Cancer,2
242296,Malignant neoplasm of mesocaecum,B18y100,Cancer,2
242295,Malignant neoplasm of pancreatic duct,B173.00,Cancer,2
224174,Malignant neoplasm of skin of thigh,B337100,Cancer,2
206139,"Malignant neoplasm of skin of trunk, excluding scrotum",B335.00,Cancer,2
242372,Hodgkin's nodular sclerosis of inguinal region and leg,B614500,Cancer,2
206206,Multiple myeloma and immunoproliferative neoplasms,B63..00,Cancer,2
242278,"Malignant neoplasm of lower lip, vermilion border",B001.00,Cancer,2
297319,Malignant neoplasm of other sites of floor of mouth,B04y.00,Cancer,2
260664,Malignant neoplasm of opening of auditory tube,B072100,Cancer,2
