id,term
XaC4X,Clinical allergy department
XaC71,Clinical allergy service
XaIiU,Clinical immunology/allergy
c848.,Rhino-syrup Allergy 2mg/5mL sugar free syrup
c849.,Pollenase Allergy Syrup 2mg/5mL sugar free syrup
c84D.,Allergy Relief Antihistamine 4mg tablet
c8m3.,Benadryl Allergy Relief 8mg capsule
c8n2.,Zirtek Allergy 10mg tablet
c8n4.,Zirtek Allergy 1mg/mL s/f oral solution
c8n8.,Galpharm Hayfever and Allergy Relief 10mg tablet
c8nA.,Zirtek Allergy Relief 10mg tablet
c8nC.,Cetirizine 10mg Allergy Relief One A Day tablet
c8nE.,Benadryl Allergy 1mg/mL s/f oral solution
c8nG.,Numark Hayfever and Allergy Relief 10mg tablet
c8nH.,Piriteze Allergy Syrup 1mg/1mL s/f oral solution
c8nI.,Galpharm Allergy Relief 1mg/1mL s/f oral solution
c8nJ.,Vantage Hayfever and Allergy Relief 10mg tablet
c8nL.,BENADRYL ALLERGY LIQUID RELEASE 10mg capsules
c8o5.,Clarityn Allergy 5mg/5mL syrup
c8o6.,Clarityn Allergy 10mg tablet
c8o7.,Galpharm Non-Drowsy Allergy Relief 10mg tablet
c8o8.,Numark Non-Drowsy Allergy Relief 10mg tablet
c8o9.,Galpharm Non-Drowsy Hayfever & Allergy Relief 10mg tablet
c8oA.,Galpharm Non-Drowsy Allergy Relief 5mg/5mL syrup
c8oB.,Vantage Pharmacy Non-Drowsy Allergy Relief 10mg tablet
c8oC.,Vantage Non-Drowsy Allergy Relief 5mg/5mL syrup
c91..,Pollen allergy preparations
c911.,Alavac-P treatment set 5mL
c912.,Allpyral-G treatment set 5mL
c913.,Allpyral-G maintenance set 5mL
c914.,Conjuvac two grass treatment set
c915.,Conjuvac two grass maintenance set
c916.,Norisen grass treatment set
c917.,Norisen grass maintenance set 4.5mL
c918.,Pollinex treatment set
c919.,Spectralgen single spec treatment set
c91a.,Spectralgen single spec maintenance set
c91b.,Spectralgen 4 grass mix treatment set
c91c.,Spectralgen 4 grass mix maintenance set
c91d.,Spectralgen 3 tree mix treatment set
c91e.,Spectralgen 3 tree mix maintenance set
c91f.,"STD ALLRGN EXTR GRASS POLLN TIMOTHY 75,000 SQ-T lyophilisate"
c91g.,"GRAZAX 75,000 SQ-T oral lyophilisate"
c92..,House dust mite allergy preparations
c921.,Allpyral D pteronyssimu treatment set
c922.,Allpyral D pteronyssimu maintenance set 2mL
c923.,Allpyral-mite fortified treatment set 5mL
c924.,Allpyral-mite fortified 10mL
c925.,Conjuvac mite treatment set 2mL
c926.,Conjuvac mite maintenance set 2mL
c927.,Migen treatment set
c928.,Migen maintenance set
c93..,Specific allergy preparations
c931.,Alavac-S treatment set 5mL
c932.,Alavac-S maintenance set 10mL
c933.,Allpyral specific treatment set 5mL
c934.,Allpyral specific maintenance set 5mL
c935.,Norisen treatment set
c936.,Norisen maintenance set 10mL
c937.,SDV treatment set 10mL
c938.,SDV maintenance set 10mL
c94..,Wasp/bee venom allergy preparations
c941.,Albay pure bee venom 100micrograms/mL injection
c942.,Albay pure wasp venom 100micrograms/mL injection
c943.,Pharmalgen bee venom initial set
c944.,Pharmalgen wasp venom initial set
c945.,Pharmalgen bee venom maintenance set
c946.,Pharmalgen wasp venom maintenance set
c947.,Pharmalgen diluent solution 5mL
c94w.,Wasp venom maintenance set
c94x.,Wasp venom initial set
c94y.,Bee venom maintenance set
c94z.,Bee venom initial set
c95..,Allergy testing preparations
c951.,Standardised Allergen extracts for skin prick testing S1 kit
c952.,Standardised Allergen extracts for skin prick testing S2 kit
k69C.,Clarityn Allergy 2% e/d 10mL
k69E.,Optrex Allergy eye drops 10mL
k69F.,Pollenase Allergy 2% eye drops 10mL
k69G.,Galpharm Allergy 2% eye drops 10mL
k69J.,OPTICROM ALLERGY 2% eye drops 5mL
k69K.,OPTICROM ALLERGY 2% eye drops 10mL
k69N.,OPTICROM ALLERGY 2% p/f single use eye drops 0.3mL
k6b3.,Alomide Allergy 0.1% eye drops 5mL
l8...,Drugs used in nasal allergy
l814.,Beconase Allergy 50micrograms aqueous nasal spray
l859.,Rynacrom Allergy nasal spray 10mL
l874.,Rhinolast Hayfever 0.1% nasal spray 5mL
l877.,RHINOLAST ALLERGY 0.1% nasal spray 5mL
l884.,Flixonase Allergy 50micrograms aqueous nasal spray
l8E..,AZELASTINE HYDROCHLORIDE+FLUTICASONE PROPIONATE
l8E1.,DYMISTA 137micrograms/50micrograms nasal spray
l8E2.,AZELASTINE HCL+FLUTICASONE PROPION 137mcg/50mcg nasal spray
lA31.,CARE ALLERGY DEFENCE powder nasal spray 200dose
m349.,Benadryl Skin Allergy Relief cream 42g
m34A.,Benadryl Skin Allergy Relief lotion 125mL
m91m.,Piz Buin Sun allergy 12 lotion 125mL
wy0Cn,Allergy Therapeutics Ltd
x001l,Cat allergy vaccines
x003B,Dog allergy vaccines
x005N,Horse allergy vaccines
x005O,House dust allergy vaccines
x005P,House mite allergy vaccines
x00CJ,Alutard artemisia allergy initial kit
x00CK,Alutard cat allergy initial kit
x00CL,Alutard dog allergy initial kit
x00CM,Alutard grass allergy initial kit
x00CN,Alutard horse allergy initial kit
x00CO,Alutard house dust allergy initial kit
x00CP,Alutard house mite allergy initial kit
x00CQ,Alutard timothy grass allergy initial kit
x00CR,Alutard treemix allergy initial kit
x00CS,Artemisia allergy initial kit
x00CT,Cat allergy initial kit
x00CU,Dog allergy initial kit
x00CV,Grass allergy initial kit
x00CW,Horse allergy initial kit
x00CX,House dust allergy initial kit
x00CY,House mite allergy initial kit
x00CZ,Timothy grass allergy initial kit
x00Ca,Treemix allergy initial kit
x00Cb,Alutard artemisia allergy maintenance kit
x00Cc,Alutard cat allergy maintenance kit
x00Cd,Alutard dog allergy maintenance kit
x00Ce,Alutard grass allergy maintenance kit
x00Cf,Alutard horse allergy maintenance kit
x00Cg,Alutard house dust allergy maintenance kit
x00Ch,Alutard house mite allergy maintenance kit
x00Ci,Alutard timothy grass allergy maintenance kit
x00Cj,Alutard treemix allergy maintenance kit
x00Ck,Artemisia allergy maintenance kit
x00Cl,Cat allergy maintenance kit
x00Cm,Dog allergy maintenance kit
x00Co,Grass allergy maintenance kit
x00Cp,Horse allergy maintenance kit
x00Cq,House dust allergy maintenance kit
x00Cr,House mite allergy maintenance kit
x00Cs,Timothy grass allergy maintenance kit
x00Ct,Treemix allergy maintenance kit
x00ez,Calimal 4mg tablet
x01EL,Norisen grass maintenance set
x01EM,Allpyral-G maintenance set
x01EN,Allpyral-G treatment set
x01EO,Alavac-P treatment set
x01EP,Conjuvac mite maintenance set
x01EQ,Conjuvac mite treatment set
x01ER,Allpyral mite fortified maintenance set
x01ES,SDV maintenance set
x01ET,SDV treatment set
x01EU,Norisen maintenance set
x01EV,Allpyral specific maintenance set
x01EW,Allpyral specific treatment set
x01EX,Alavac-S maintenance set
x01EY,Alavac-S treatment set
x01FS,Piz Buin allergy 12 lotion
x02AF,Opticrom Allergy eye drops
x02KP,Allpyral D pteronyssimu maintenance set
x02KQ,Allpyral mite fortified treatment set
x03lb,Rhinolast Allergy 0.1% nasal spray
x044U,Opticrom Allergy
x04oj,Benadryl Allergy Relief
x04ov,Pharmalgen diluent solution
x04r5,Rynacrom Allergy nasal spray
x04r6,Rynacrom Allergy
x04xH,Silver birch allergy initial kit
x04xI,Silver birch allergy maintenance kit
x04xJ,Alutard silver birch allergy initial kit
x04xK,Alutard silver birch allergy maintenance kit
x04xL,Alutard dermatophagoides pteronyssinus allergy initial kit
x04xM,Alutard dermatophagoides pteronyssinus maintenance kit
x0563,Pollinex trees kit
x0564,Pollinex trees extension course vial
x0565,Pollinex grasses kit
x0566,Pollinex grasses extension course vial
x0583,Benadryl Skin Allergy Relief cream
x0584,Benadryl Skin Allergy Relief lotion
x0585,Benadryl Skin Allergy Relief
x05By,Beconase Allergy
x05F7,Rhino-syrup Allergy
x05FH,Rhinolast Allergy
x05GG,Clarityn Allergy
x05cQ,Clarityn Allergy 2% eye drops
x05cW,Alomide Allergy
x05cX,Alomide Allergy 0.1% eye drops
x05db,Zirtek Allergy
x05dc,Zirtek Allergy Relief
x05fV,Pollenase Allergy Syrup
x05gc,Cetirizine 10mg Allergy Relief One A Day
x05j3,Optrex Allergy
x05kY,Optrex Allergy eye drops
x05lq,Benadryl Allergy
x05lt,Flixonase Allergy
x05m3,Galpharm Non-Drowsy Allergy Relief
x05m4,Galpharm Hayfever and Allergy Relief
x05m6,Numark Non-Drowsy Allergy Relief
x05oU,Allergy Relief Antihistamine
x05oV,Numark Hayfever and Allergy Relief
x05ps,Pollenase Allergy 2% eye drops
x05qT,Pollenase Allergy
x05se,Piriteze Allergy
x05wr,Galpharm Allergy 2% eye drops
x05xy,Vantage Non-Drowsy Allergy Relief
x05xz,Vantage Hayfever and Allergy Relief
