id,term
C3760,C1 esterase inhibitor deficiency
SN51.,Angio-oedema
X20IJ,Hereditary C1 esterase inhibitor defic - deficient factor
X20IK,Hereditary C1 esterase inhib defic - dysfunctional factor
X508a,Vibratory angio-oedema
X70wB,Acquired C1 esterase inhibitor deficiency
X70wC,Venom-induced angio-oedema-urticaria
X70wD,Food-induced angio-oedema-urticaria
X70wE,Drug-aggravated angio-oedema-urticaria
X70wF,NSAID-induced angio-oedema-urticaria
X70wG,Aspirin-induced angio-oedema-urticaria
X70wH,ACE inhibitor-aggravated angio-oedema-urticaria
X70wI,Chemical-aggravated angio-oedema-urticaria
X70wJ,Azo-dye-induced angio-oedema-urticaria
X70wK,Sodium benzoate-induced angio-oedema-urticaria
X70wL,Latex-induced angio-oedema-urticaria
Xa0WK,Penicillin-induced angio-oedema-urticaria
