code,term
bn2..,Cinnarizine [vasodilator]
bn21.,Stugeron Forte 75mg capsule
bn2z.,Cinnarizine 75mg capsule
c8...,Antihistamines
c81..,Astemizole
c811.,Hismanal 10mg tablet
c812.,Hismanal 5mg/5mL suspension
c813.,Astemizole 10mg tablet
c814.,Astemizole 5mg/5mL suspension
c82..,Azatadine maleate
c821.,Optimine 1mg tablet
c822.,Optimine 500micrograms/5mL syrup
c82y.,Azatadine maleate 1mg tablet
c82z.,Azatadine maleate 500micrograms/5mL syrup
c83..,Brompheniramine maleate
c831.,Dimotane 4mg tablet
c832.,Dimotane 2mg/5mL elixir
c833.,Dimotane LA 12mg m/r tablet
c83x.,Brompheniramine maleate 4mg tablet
c83y.,Brompheniramine maleate 2mg/5mL elixir
c83z.,Brompheniramine maleate 12mg m/r tablet
c84..,Chlorpheniramine maleate
c841.,Chlorphenamine maleate 4mg tablet
c842.,Alunex 4mg tablet
c843.,Piriton 4mg tablet
c844.,Piriton 12mg m/r tablet
c845.,Piriton 2mg/5mL syrup
c846.,Piriject 10mg/1mL injection
c847.,Pollenase Antihistamine 4mg tablet
c848.,Rhino-syrup Allergy 2mg/5mL sugar free syrup
c849.,Pollenase Allergy Syrup 2mg/5mL sugar free syrup
c84A.,Allerief 2mg/5mL s/f oral solution
c84B.,Vantage Antihistamine 4mg tablet
c84C.,Hayleve 4mg tablet
c84D.,Allergy Relief Antihistamine 4mg tablet
c84E.,ALLERCALM 4mg tablets
c84v.,Chlorphenamine maleate 2mg/5mL s/f oral solution
c84w.,Chlorphenamine maleate 2mg/5mL sugar free syrup
c84x.,Chlorpheniramine 12mg m/r tablet
c84y.,Chlorphenamine maleate 2mg/5mL syrup
c84z.,Chlorphenamine maleate 10mg/1mL injection
c85..,Clemastine
c851.,Tavegil 1mg tablet
c852.,Tavegil 500micrograms/5mL elixir
c853.,Aller-eze tablet
c854.,Clemastine+phenylpropanolamine 0.5/25mg tablet
c855.,Aller-eze Plus tablet
c85y.,Clemastine 1mg tablet
c85z.,Clemastine 500micrograms/5mL elixir
c86..,Cyproheptadine hydrochloride
c861.,Periactin 4mg tablet
c862.,Periactin 2mg/5mL syrup
c86y.,Cyproheptadine hydrochloride 4mg tablet
c86z.,Cyproheptadine hydrochloride 2mg/5mL syrup
c87..,Dimethindene maleate
c871.,Fenostil Retard 2.5mg m/r tablet
c87z.,Dimethindene maleate 2.5mg m/r tablet
c88..,Diphenhydramine hydrochloride [antihistamine]
c881.,Benadryl 25mg capsule
c882.,Nytol 25mg Caplet
c883.,Diphenhydramine hydrochloride 25mg tablet
c884.,Diphenhydramine hydrochloride 10mg/5mL syrup
c885.,Medinex 10mg/5mL syrup
c886.,Nytol One-A-Night 50mg tablet
c887.,Diphenhydramine hydrochloride 50mg tablet
c888.,Nightcalm 25mg tablet
c889.,Paxidorm 25mg tablet
c88A.,Sleepia 50mg capsule
c88B.,Dreemon 25mg tablet
c88C.,Dreemon 10mg/5mL syrup
c88D.,Histergan 10mg/5mL syrup
c88E.,Histergan 25mg tablet
c88F.,Mandalyn Paediatric 6.25mg/5mL syrup
c88G.,Vantage Pharmacy Sleep Aid 50mg tablet
c88H.,Care Night Time Sleep Aid 25mg tablet
c88I.,GALPHARM ONE A NIGHT NIGHTCALM 50mg tablets
c88x.,Diphenhydramine hydrochloride 6.25mg/5mL syrup
c88y.,Diphenhydramine hydrochloride 50mg capsule
c88z.,Diphenhydramine hydrochloride 25mg capsule
c89..,Diphenylpyraline hydrochloride
c891.,Histryl Spansule 5mg m/r capsule
c892.,Histryl Paediatric Spansule 2.5mg m/r capsule
c893.,Lergoban 5mg m/r tablet
c89x.,Diphenylpyraline 5mg m/r capsule
c89y.,Diphenylpyraline 2.5mg m/r capsule
c89z.,Diphenylpyraline 5mg m/r tablet
