id,term
13Y4.,Asthma society member
14B4.,H/O: asthma
173A.,Exercise-induced asthma
663..,Respiratory disease monitoring (& [asthma] or [chronic])
663F.,Oral steroids started
663G.,Oral steroids stopped
663N.,Asthma disturbing sleep
663N0,Asthma causing night waking
663N1,Asthma disturbs sleep weekly
663N2,Asthma disturbs sleep frequently
663O.,Asthma not disturbing sleep
663O0,Asthma never disturbs sleep
663P.,Asthma limiting activities
663Q.,Asthma not limiting activities
663U.,Asthma management plan given
663V.,Asthma severity
663V0,Occasional asthma
663V1,Mild asthma
663V2,Moderate asthma
663V3,Severe asthma
663W.,Asthma prophylactic medication used
663Y.,Steroid dose inhaled daily
663a.,Oral steroids used since last appointment
663b.,Home nebuliser used since last appointment
663c.,Nebulisation since last appointment
663d.,Emergency asthma admission since last appointment
663e.,Asthma restricts exercise
663e0,Asthma sometimes restricts exercise
663e1,Asthma severely restricts exercise
663f.,Asthma never restricts exercise
679J.,Health education - asthma
68C3.,Asthma screening
8791.,Further asthma - drug prevention
8793.,Asthma control step 0
8794.,Asthma control step 1
8795.,Asthma control step 2
8796.,Asthma control step 3
8797.,Asthma control step 4
8798.,Asthma control step 5
8CE2.,Asthma leaflet given
8H2P.,"Emergency admission, asthma"
9N1d.,Seen in asthma clinic
9OJ..,Asthma administration: [monitoring] or [clinic]
9OJ1.,Attends asthma monitoring
9OJ2.,Refuses asthma monitoring
9OJ3.,Asthma monitor offer default
9OJ4.,Asthma monitoring call first letter
9OJ5.,Asthma monitoring call second letter
9OJ6.,Asthma monitoring call third letter
9OJ7.,Asthma monitoring call verbal invite
9OJ8.,Asthma monitoring call telephone invite
9OJ9.,Asthma monitoring deleted
9OJA.,Asthma monitored (& check done)
9OJZ.,Asthma monitoring admin.NOS
9Q21.,Patient in asthma study
G581.,(L ventric:[fail][imp func]) or (card asth) or (ac pulm oed)
H3120,Chronic asthmatic bronchitis
H33..,Asthma
H330.,Asthma: [extrins - atop][allerg][pollen][childh][+ hay fev]
H3300,(Hay fever + asthma) or (extr asthma without status asthmat)
H3301,Extrins asthma with: [asthma attack] or [status asthmaticus]
H330z,Extrinsic asthma NOS
