id,term
1267.,FH: Cholinesterase deficiency
339A.,Peak flow rate before bronchodilation (& expiratory)
339B.,Peak flow rate (& [expiratory]) after bronchodilation
44C1.,Serum pseudocholinesterase (& level)
44W1.,Level: [blood theophylline] or [aminophyll: (blood)(serum)]
44W10,Theophylline level therapeutic
44W11,Theophylline level low
44W12,Theophylline level high
4H45.,Amniotic fluid cholinesterase
5783.,Radiobioassay - hydrocortisone
663L.,Bronchodilators used more than once daily
663M.,Bronchodilators used a maximum of once daily
C31y6,Oxaluria NEC
C37y4,Acatalasia
D41y2,Pseudocholinesterase deficiency
M285.,Cholinergic urticaria
SLB0.,Parasympathomimetic poisoning
SLB00,Acetylcholine poisoning
SLB01,Anticholinesterase poisoning
SLB02,Pilocarpine poisoning
SLB0z,Cholinergic poisoning NOS
SLE11,Theophylline poisoning
SLF70,Aminophylline poisoning
SyuFN,[X]Poisoning by other parasympathomimetics [cholinergics]
SyuFP,"[X]Pois,oth parasympath [antichol/antimusc] & spasmolyt,NEC"
T853.,Accidental poisoning by cholinergics
T8530,Accidental poisoning by acetylcholine
T8531,Accidental poisoning by anticholinesterase
T8532,Accidental poisoning by pilocarpine
T853z,Accidental poisoning by cholinergics NOS
T854.,Accidental poisoning by anticholinergics
T8540,Accidental poisoning by atropine
T8541,Accidental poisoning by homatropine
T8542,Accidental poisoning by hyoscine
T8543,Accidental poisoning by quaternary ammonium derivatives
T854z,Accidental poisoning by anticholinergics NOS
TJ202,Adverse reaction to dexamethasone
TJ204,Adverse reaction to hydrocortisone
TJ205,Adverse reaction to methylprednisolone
TJ206,Adverse reaction to prednisolone
TJ207,Adverse reaction to prednisone
TJ630,Adverse reaction to beclamide
TJB04,Adverse reaction to acetylcholine
TJB05,Adverse reaction to anticholinesterase
TJE03,Adverse reaction to mercurophylline
TJE11,Adverse reaction to theophylline (diuretic)
TJF70,Adverse reaction to salbutamol
TJF71,Adverse reaction to ipratropium bromide
TJF72,Adverse reaction to aminophylline
TJF73,Adverse reaction to theophylline - asthma
U60A2,"[X]Methylxanthines caus adverse effects in therap use, NEC"
U60B0,[X]Anticholinesterase agents caus adverse eff in therap use
U60B1,[X]Oth parasympathomim [cholinergs] caus adv eff therap use
U60B3,"[X]Oth parasympatholyt/spasmolyt caus adv eff ther use, NEC"
U60J2,[X]Cholera vaccine caus adverse effects in therapeutic use
Ub06Q,Choline supplementation
Ub08Y,Choline
X00Cd,Acetylcholine resynthesis deficiency
X00Cf,Congenital end-plate acetylcholine receptor deficiency
X00Ci,Putative defect in acetylcholine synthesis or packaging
X00Cj,Congenital end-plate acetylcholinesterase deficiency
X00Ck,Decr of motor end-plate potential wthout ACh receptor defic
X00Cy,Cholinergic paralysis
X20DW,Phosphatidylcholine-sterol acyltransferase deficiency
X40Uo,Cytosine diphosphate choline phosphotransferase deficiency
X40We,Disorder of peroxisomal function
X40Wf,General loss of peroxisomal function
X40Wg,Neonatal adrenoleucodystrophy
X40Wh,Infantile Refsum's disease
X40Wi,Loss of multiple peroxisomal functions
X40Wj,Rhizomelic chondrodysplasia punctata
X40Wk,Zellweger's-like syndrome
X40Wl,Pseudoinfantile Refsum's disease
X40Wm,Loss of single peroxisomal function
X40Wn,X-linked adrenoleucodystrophy
X40Wo,Peroxisomal thiolase deficiency
X40Wp,Bifunctional peroxisomal enzyme deficiency
X40Wq,Acyl-CoA oxidase deficiency
X40Wr,Glutaryl-CoA oxidase deficiency
X40Ws,Dihydroxycholestanoic acidae & trihydroxycholestanoic acidae
X40Wu,Isol dihydroxyacetone phosphate acyltransferase deficiency
X40Wv,Isolated alkyldihydroxyacetone phosphate synthase deficiency
X40Xr,Choline deficiency
X508W,Persisting cholinergic urticaria
X508X,Cholinergic pruritus
X70sB,Poisoning by bronchodilator drug
X70w8,Cholinergic anaphylactoid reaction
X770j,Aminophylline level
X770k,Aminophylline: blood level
X773g,Peroxisomal beta-oxidation
X77X5,Cortisol day curve
X77X6,Dexamethasone suppression test
X77X7,Low dose dexamethasone suppression test
X77X8,High dose dexamethasone suppression test
X77XK,Hydrocortisone infusion test
X77XL,Hydrocortisone suppression test
X77e3,Methacholine challenge
X78v2,Post-bronchodilation
X78v3,Pre-bronchodilation
X795w,Theophylline
X797F,Podophyllin
X797H,Podophyllin 20%
X797I,Podophyllin 40%
X80DE,Acetylcholinesterase
X80Ef,Pseudocholinesterase
X80FU,Cortisol
X80FV,Free cortisol
X80Gb,Tetrahydrocortisone
X80HJ,Glutaric acid
X80J4,Lysophosphatidylcholine
X80J6,Phytanic acid
X80Km,Peroxisomal disorder marker
X80Kn,Bifunctional enzyme
X80Kp,Dihydroxyacetone phosphate acyltransferase
X80Kr,Glutaryl coenzyme A oxidase
X80Ks,Peroxisomal oxidase
X80Kt,Peroxisomal thiolase
X80Kv,Phytanic acid oxidase
X80Kw,Pipecolic acid
X80Kx,Plasmalogen
X80Ky,Very long chain fatty acid
X80Kz,Very long chain fatty acyl-CoA synthase
X80Mo,Bile acid
