id,term
F4A31,Vernal conjunctivitis
F4C06,Acute atopic conjunctivitis
F4C1.,Chronic conjunctivitis
F4C10,Unspecified chronic conjunctivitis
F4C11,Simple chronic conjunctivitis
F4C12,Chronic follicular conjunctivitis
F4C13,Vernal conjunctivitis
F4C14,Allerg conjunctivitis &/or oth chron allergic conjunctivitis
F4C1z,Chronic conjunctivitis NOS
X00Zi,Atopic conjunctivitis
X00Zj,Seasonal allergic conjunctivitis
X00Zk,Perennial allergic conjunctivitis
X00Zl,Giant papillary conjunctivitis
XE16b,Other chronic allergic conjunctivitis
XaF7u,Contact lens related giant papillary conjunctivitis
