id,term
14F1.,H/O: eczema
A5320,Herpes zoster with dermatitis of eyelid
A5441,Herpes simplex eyelid dermatitis
F4D3.,Non-infectious dermatosis of eyelid
F4D31,Contact &/or allergic eyelid dermatitis
F4D32,Ichthyosis of eyelid
F4D33,Discoid lupus eyelid
F4D3z,Non-infected eyelid dermatoses NOS
F4D4.,Infective eyelid dermatitis of types resulting in deformity
F4D5.,Other eyelid infective dermatitis
F4D6.,Parasitic eyelid infestation
FyuB4,[X]Parasitic infestation of eyelid in diseases CE
FyuB5,[X]Involvement of eyelid in other infectious diseases CE
G831.,Varicose veins of the leg with eczema
M10..,Erythematosquamous dermatosis
M100.,Seborrhoeic dermatitis of scalp
M101.,Seborrhoeic dermatitis (& capitis)
M103.,Parakeratosis
M104.,Pityriasis simplex
M10z.,Erythematosquamous dermatosis NOS
M11..,Atopic dermatitis and related conditions
M110.,Napkin dermatitis
M111.,Atopic dermatitis
M112.,Infantile eczema
M113.,Flexural atopic dermatitis
M114.,Allergic (intrinsic) eczema
M115.,Besnier's prurigo
M116.,Brocq's neurodermatitis
M117.,Atopic neurodermatitis
M118.,Infantile seborrhoeic dermatitis
M1180,Cradle cap
M118z,Infantile seborrhoeic dermatitis NOS
M11z.,Atopic dermatitis NOS
M12..,(Contact derm [& oth eczem]) or (contact ecz) or (occ derm)
M120.,Contact dermatitis due to detergents
M121.,Contact dermatitis due to oils &/or greases
M122.,Contact dermatitis due to solvents
M1220,Contact dermatitis due to chlorocompound
M1221,Contact dermatitis due to cyclohexane
M1222,Contact dermatitis due to ester
M1223,Contact dermatitis due to glycol
M1224,Contact dermatitis due to hydrocarbon
M1225,Contact dermatitis due to ketone
M122z,Contact dermatitis due to solvent NOS
M123.,Drug-induced contact dermatitis
M1230,Contact dermatitis due to arnica
M1231,Contact dermatitis due to fungicides
M1232,Contact dermatitis due to iodine
M1233,Contact dermatitis due to keratolytics
M1234,Contact dermatitis due to mercurials
M1235,Contact dermatitis due to neomycin
M1236,Contact dermatitis due to pediculocides
M1237,Contact dermatitis due to phenols
M1238,Contact dermatitis due to scabicides
M123z,Contact dermatitis due to medicament NOS
M124.,Contact dermatitis due to other chemical products
M1240,Contact dermatitis due to acids
M1241,Contact dermatitis due to adhesive plaster (& elastoplast)
M1242,Contact dermatitis due to alkalis
M1243,Contact dermatitis due to caustics
M1244,Contact dermatitis due to dichromate
M1245,Contact dermatitis due to insecticide
M1246,Contact dermatitis due to nylon
M1247,Contact dermatitis due to plastic
M1248,Contact dermatitis due to rubber
M124z,Contact dermatitis: other chemicals NOS
M125.,Contact dermatitis due to food in contact with skin
M1250,Contact dermatitis due to cereals
M1251,Contact dermatitis due to fish
M1252,Contact dermatitis due to flour
M1253,Contact dermatitis due to fruit
M1254,Contact dermatitis due to meat
M1255,Contact dermatitis due to milk
M125z,(Contact dermatitis due food NOS) or (egg contact dermatit)
M126.,Contact dermatitis due to plants
M1260,Contact dermatitis due to lacquer tree
M1261,Contact dermatitis due to poison-ivy
M1262,Contact dermatitis due to poison-oak
M1263,Contact dermatitis due to poison-sumac
M1264,Contact dermatitis due to poison-vine
M1265,Contact dermatitis due to primrose
M1266,Contact dermatitis due to ragweed
M126z,Contact dermatitis due to plants NOS
M127.,Contact dermatitis due to solar radiation
M1270,Unspecified contact dermatitis due to solar radiation
M1272,Hydroa aestivale
M127z,Contact dermatitis due to solar radn NOS
M128.,Allergic contact dermatitis
M1280,Allergic contact dermatitis due to adhesives
M1281,Allergic contact dermatitis due to cosmetics
M1282,Allergic contact dermatitis due drugs in contact with skin
M1283,Allergic contact dermatitis due to dyes
M1284,Allergic contact dermatitis due to other chemical products
M1285,Allergic contact dermatitis due to food in contact with skin
M1286,"Allergic contact dermatitis due to plants, except food"
M129.,Irritant contact dermatitis
M1290,Irritant contact dermatitis due to cosmetics
M1291,Irritant contact dermatitis due drugs in contact with skin
M1292,Irritant contact dermatitis due to other chemical products
M1293,Irritant contact dermatitis due to food in contact with skin
M1294,"Irritant contact dermatitis due to plants, except food"
M12y.,Contact dermatitis due to other specified agents
M12y0,Contact dermatitis due to cosmetics (& [lanolin]/[perfume])
M12y1,Contact dermatitis due to cold weather
M12y2,Contact dermatitis due to dyes
