id,term
1C9..,Throat soreness (& symptom)
1C92.,Has a sore throat
1C9Z.,Sore throat symptom NOS
A34..,Streptococcal sore throat with scarlatina
A340.,Streptococcal sore throat
A3400,Streptococcal angina
A3401,Streptococcal laryngitis
A3402,Streptococcal pharyngitis
A3403,Streptococcal tonsillitis
A340z,Streptococcal sore throat NOS
A34z.,Streptococcal sore throat with scarlatina NOS
H02..,Throat: [acute pharyngitis]/[sore NOS (& viral)]/[infection]
H15..,Peritonsillar abscess
X20RL,Streptococcal stomatitis
X70IA,Cutaneous streptococcal ulcer
XE0Yr,Throat: [acute pharyngitis] or [infection NOS] or [sore]
XE0sE,Sore throat symptom
XE0vJ,Throat symptoms (& sore throat symptom)
Xa9zW,Sore throat
