id,term
A740.,Herpangina
H024.,Acute viral pharyngitis
H036.,Acute viral tonsillitis
H040w,Acute viral laryngitis unspecified
H05..,Other acute upper respiratory infections
H054.,Recurrent upper respiratory tract infection
H05y.,Other upper respiratory infections of multiple sites
H05z.,Upper respiratory tract infection (& viral) NOS
H1204,Chronic infective rhinitis
H1y21,Pharynx or nasopharynx cellulitis
H1y22,Parapharyngeal abscess
H1y23,Retropharyngeal abscess
H1y26,Pharynx or nasopharynx abscess
H1y50,Abscess of vocal cords
H1y75,Abscess of larynx
Hyu03,[X]Other acute upper respiratory infections/multiple sites
Hyu28,[X]Other abscess of pharynx
X00lM,Abscess of nasal cavity
X00mH,Acute herpes simplex pharyngitis
X00mI,Acute herpes zoster pharyngitis
X00mJ,Enteroviral lymphonodular pharyngitis
X00mL,Glandular fever pharyngitis
X00mr,Acute infection of tonsillar remnant
X00n7,Viral epiglottitis
X1002,Acute upper respiratory infection
X1003,Viral upper respiratory tract infection NOS
X76bv,Supraglottic abscess
X76c1,Subglottic abscess
XE0Xl,Common cold
XE0Xq,Upper respiratory infection NOS
XE0Y9,Nasal septal abscess
XE0Z7,Abscess of nose (& septum)
XM0rr,Nasal abscess
XM1QU,Nasal infection
Xa1sb,Viral upper respiratory tract infection
Xa2o8,Infection of the upper respiratory tract
Xa86D,Acute viral laryngotracheitis
XaDuG,Infective pharyngitis
XaDuH,Infective laryngitis
XaDuI,Infective tonsillitis
Y210b,Infection of upper respiratory tract caused by severe acute respiratory syndrome coronavirus 2 (disorder)
