code,term
0304030C0,Adrenaline
0304030C0AAA2A2,"Adrenaline (base) 150mcg/0.3ml (1in2,000) inj pf dispos dev"
0304030C0AAA3A3,"Adrenaline (base) 300mcg/0.3ml (1in1,000) inj pf dispos dev"
0304030C0AAAIAI,"Adrenaline (base) 500micrograms/0.5ml (1 in 1,000) inj pfs"
0304030C0AAAYAY,"Adrenaline (base) 1mg/1ml (1 in 1,000) inj pfs"
0304030C0AABBBB,"Adrenaline (base) 5mg/5ml (1 in 1,000) inj pfs"
0304030C0AABEBE,Adrenaline (base) 500mcg/0.3ml (1 in 600) inj pf dispos dev
0304030C0AABFBF,"Adrenaline (base) 150mcg/0.15ml (1in1,000) inj pf dispos dev"
0304030C0AABGBG,"Adrenaline (base) 500mcg/0.5ml (1in1,000) inj pf dispos dev"
0304030C0BE,EpiPen
0304030C0BEAAA2,"EpiPen Jr. 150microg/0.3ml (1 in 2,000) inj auto-injectors"
0304030C0BEABA3,"EpiPen 300micrograms/0.3ml (1 in 1,000) inj auto-injectors"
0304030C0BG,Anapen
0304030C0BGAAA3,"Anapen 300micrograms/0.3ml (1 in 1,000) inj auto-injectors"
0304030C0BGABA2,Anapen Junior 150microg/0.3ml inj auto-injectors
0304030C0BGACBE,Anapen 500micrograms/0.3ml (1 in 600) inj auto-injectors
0304030C0BH,Jext
0304030C0BHAABF,"Jext 150micrograms/0.15ml (1 in 1,000) inj auto-injectors"
0304030C0BHABA3,"Jext 300micrograms/0.3ml (1 in 1,000) inj auto-injectors"
0304030C0BI,Emerade
0304030C0BIAABF,"Emerade 150micrograms/0.15ml (1 in 1,000) inj auto-injectors"
0304030C0BIABA3,"Emerade 300micrograms/0.3ml (1 in 1,000) inj auto-injectors"
0304030C0BIACBG,"Emerade 500micrograms/0.5ml (1 in 1,000) inj auto-injectors"
