read_code,v36_v2_id,v36_v2_term,v36_v2,v36_v3_id,v36_v3_term,v36_v3,v37_v2_id,v37_v2_term,v37_v2,v37_v3_id,v37_v3_term,v37_v3,v38_v2_id,v38_v2_term,v38_v2,v38_v3_id,v38_v3_term,v38_v3
G573.,AFIB_COD,Atrial fibrillation and flutter,1,AFIB_COD,Atrial fibrillation and flutter,1,AFIB_COD,Atrial fibrillation and flutter,1,AFIB_COD,Atrial fibrillation and flutter,1,AFIB_COD,Atrial fibrillation and flutter,1,AFIB_COD,Atrial fibrillation and flutter,1
G5730,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1
G5730,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1
G5730,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1
G5730,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1
G5730,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1
G5730,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1
G5730,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1
G5730,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1,AFIB_COD,Atrial fibrillation,1
G5731,AFIB_COD,Atrial flutter,1,AFIB_COD,Atrial flutter,1,AFIB_COD,Atrial flutter,1,AFIB_COD,Atrial flutter,1,AFIB_COD,Atrial flutter,1,AFIB_COD,Atrial flutter,1
G5732,AFIB_COD,Paroxysmal atrial fibrillation,1,NA,NA,NA,AFIB_COD,Paroxysmal atrial fibrillation,1,NA,NA,NA,AFIB_COD,Paroxysmal atrial fibrillation,1,NA,NA,NA
G5733,AFIB_COD,Non-rheumatic atrial fibrillation,1,NA,NA,NA,AFIB_COD,Non-rheumatic atrial fibrillation,1,NA,NA,NA,AFIB_COD,Non-rheumatic atrial fibrillation,1,NA,NA,NA
G5734,AFIB_COD,Permanent atrial fibrillation,1,NA,NA,NA,AFIB_COD,Permanent atrial fibrillation,1,NA,NA,NA,AFIB_COD,Permanent atrial fibrillation,1,NA,NA,NA
G5735,AFIB_COD,Persistent atrial fibrillation,1,NA,NA,NA,AFIB_COD,Persistent atrial fibrillation,1,NA,NA,NA,AFIB_COD,Persistent atrial fibrillation,1,NA,NA,NA
G5736,AFIB_COD,Paroxysmal atrial flutter,1,NA,NA,NA,AFIB_COD,Paroxysmal atrial flutter,1,NA,NA,NA,AFIB_COD,Paroxysmal atrial flutter,1,NA,NA,NA
G5737,AFIB_COD,Chronic atrial fibrillation,1,NA,NA,NA,AFIB_COD,Chronic atrial fibrillation,1,NA,NA,NA,AFIB_COD,Chronic atrial fibrillation,1,NA,NA,NA
G5738,AFIB_COD,Typical atrial flutter,1,NA,NA,NA,AFIB_COD,Typical atrial flutter,1,NA,NA,NA,AFIB_COD,Typical atrial flutter,1,NA,NA,NA
G5739,AFIB_COD,Atypical atrial flutter,1,NA,NA,NA,AFIB_COD,Atypical atrial flutter,1,NA,NA,NA,AFIB_COD,Atypical atrial flutter,1,NA,NA,NA
G573z,AFIB_COD,Atrial fibrillation and flutter NOS,1,AFIB_COD,Atrial fibrillation and flutter NOS,1,AFIB_COD,Atrial fibrillation and flutter NOS,1,AFIB_COD,Atrial fibrillation and flutter NOS,1,AFIB_COD,Atrial fibrillation and flutter NOS,1,AFIB_COD,Atrial fibrillation and flutter NOS,1
173A.,AST_COD,Exercise induced asthma,1,AST_COD,Exercise-induced asthma,1,AST_COD,Exercise induced asthma,1,AST_COD,Exercise-induced asthma,1,AST_COD,Exercise induced asthma,1,AST_COD,Exercise-induced asthma,1
H3120,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1,AST_COD,Chronic asthmatic bronchitis,1
