cat2,read_code,version,cat1
White: English or Welsh or Scottish or Northern Irish or British,9i00.,v2,ethnicity
White: English or Welsh or Scottish or Northern Irish or British,9t00.,v2,ethnicity
White: Irish,9i10.,v2,ethnicity
White: Irish,9t01. ,v2,ethnicity
White: Gypsy or Irish Traveller,9i2D.,v2,ethnicity
White: Gypsy or Irish Traveller,9i2C.,v2,ethnicity
White: Gypsy or Irish Traveller,9i2E.,v2,ethnicity
White: Gypsy or Irish Traveller,9t02.,v2,ethnicity
White: Any other White background,9t03.,v2,ethnicity
Mixed or multiple ethnic groups: White and Black Caribbean,9i3..,v2,ethnicity
Mixed or multiple ethnic groups: White and Black Caribbean,9t04.,v2,ethnicity
Mixed or multiple ethnic groups: White and Black African,9t05.,v2,ethnicity
Mixed or multiple ethnic groups: White and Asian,9i5..,v2,ethnicity
Mixed or multiple ethnic groups: White and Asian,9t06.,v2,ethnicity
Mixed or multiple ethnic groups: Any other Mixed or multiple ethnic background,9t07.,v2,ethnicity
Asian or Asian British: Indian,9i7..,v2,ethnicity
Asian or Asian British: Indian,9t08.,v2,ethnicity
Asian or Asian British: Pakistani,9i8..,v2,ethnicity
Asian or Asian British: Pakistani,9t09.,v2,ethnicity
Asian or Asian British: Bangladeshi,9i9..,v2,ethnicity
Asian or Asian British: Bangladeshi,9t0A.,v2,ethnicity
Asian or Asian British: Chinese,9iE..,v2,ethnicity
Asian or Asian British: Chinese,9i64.,v2,ethnicity
Asian or Asian British: Chinese,9t0B.,v2,ethnicity
Asian or Asian British: Any other Asian background,9t0C.,v2,ethnicity
Black or African or Caribbean or Black British: African,9t0D.,v2,ethnicity
Black or African or Caribbean or Black British: Caribbean,9t0E.,v2,ethnicity
Black or African or Caribbean or Black British: Any other Black or African or Caribbean background,9t0F.,v2,ethnicity
Other ethnic group: Arab,9iF9.,v2,ethnicity
Other ethnic group: Arab,9t0G.,v2,ethnicity
Other ethnic group: Any other ethnic group,9iF..,v2,ethnicity
Other ethnic group: Any other ethnic group,9iFK.,v2,ethnicity
Other ethnic group: Any other ethnic group,9t0H.,v2,ethnicity
Not stated,9iG..,v2,ethnicity
White: English or Welsh or Scottish or Northern Irish or British,XaQEa,v3,ethnicity
White: English or Welsh or Scottish or Northern Irish or British,XactH,v3,ethnicity
White: Irish,XaQEb,v3,ethnicity
White: Irish,XactI,v3,ethnicity
White: Gypsy or Irish Traveller,XaJSC,v3,ethnicity
White: Gypsy or Irish Traveller,XaJSB,v3,ethnicity
White: Gypsy or Irish Traveller,XaJSD,v3,ethnicity
White: Gypsy or Irish Traveller,XactJ,v3,ethnicity
White: Any other White background,XactK,v3,ethnicity
Mixed or multiple ethnic groups: White and Black Caribbean,XaJQy,v3,ethnicity
Mixed or multiple ethnic groups: White and Black Caribbean,XactL,v3,ethnicity
Mixed or multiple ethnic groups: White and Black African,Xactd,v3,ethnicity
Mixed or multiple ethnic groups: White and Asian,XaJR0,v3,ethnicity
Mixed or multiple ethnic groups: White and Asian,Xacte,v3,ethnicity
Mixed or multiple ethnic groups: Any other Mixed or multiple ethnic background,Xactf,v3,ethnicity
Asian or Asian British: Indian,XaJR2,v3,ethnicity
Asian or Asian British: Indian,Xactg,v3,ethnicity
Asian or Asian British: Pakistani,XaJR3,v3,ethnicity
Asian or Asian British: Pakistani,Xacth,v3,ethnicity
Asian or Asian British: Bangladeshi,XaJR4,v3,ethnicity
Asian or Asian British: Bangladeshi,Xacti,v3,ethnicity
Asian or Asian British: Chinese,XaJR9,v3,ethnicity
Asian or Asian British: Chinese,XaJRL,v3,ethnicity
Asian or Asian British: Chinese,Xactj ,v3,ethnicity
Asian or Asian British: Any other Asian background,Xactk,v3,ethnicity
Black or African or Caribbean or Black British: African,Xactl,v3,ethnicity
Black or African or Caribbean or Black British: Caribbean,Xactm,v3,ethnicity
Black or African or Caribbean or Black British: Any other Black or African or Caribbean background,Xactn,v3,ethnicity
Other ethnic group: Arab,XaJSS,v3,ethnicity
Other ethnic group: Arab,Xacto,v3,ethnicity
Other ethnic group: Any other ethnic group,XaJRA,v3,ethnicity
Other ethnic group: Any other ethnic group,XaJSg,v3,ethnicity
Other ethnic group: Any other ethnic group,Xactp,v3,ethnicity
Not stated,XaJRB,v3,ethnicity
