Disease,Read code,Term,weight
AIDS,A788.,Acquired immune deficiency syndrome,6
AIDS,A7881,Asymptomatic human immunodeficiency virus infection,6
AIDS,A7882,HIV infection with persistent generalised lymphadenopathy,6
AIDS,A7883,Human immunodeficiency virus with constitutional disease,6
AIDS,A7884,Human immunodeficiency virus with neurological disease,6
AIDS,A7885,Human immunodeficiency virus with secondary infection,6
AIDS,A7886,Human immunodeficiency virus with secondary cancers,6
AIDS,A788U,"HIV disease result/haematological abnorms,NEC",6
AIDS,A788V,HIV disease resulting in multiple diseases CE,6
AIDS,A788W,HIV disease resulting in unspecified malignant neoplasm,6
AIDS,A788X,HIV disease resulting/unspcf infectious disease,6
AIDS,A788y,Human immunodeficiency virus with other clinical findings,6
AIDS,A788z,Acquired human immunodeficiency virus infection syndrome NOS,6
AIDS,A789.,Human immunodef virus resulting in other disease,6
AIDS,A7890,HIV disease resulting in mycobacterial infection,6
AIDS,A7891,HIV disease resulting in cytomegaloviral disease,6
AIDS,A7892,HIV disease resulting in candidiasis,6
AIDS,A7893,HIV disease resulting in Pneumocystis carinii pneumonia,6
AIDS,A7894,[X]HIV disease resulting in multiple infections,6
AIDS,A7894,HIV disease resulting in multiple infections,6
AIDS,A7895,HIV disease resulting in Kaposi's sarcoma,6
AIDS,A7896,HIV disease resulting in Burkitt's lymphoma,6
AIDS,A7898,HIV disease resulting in multiple malignant neoplasms,6
AIDS,A7899,HIV disease resulting in lymphoid interstitial pneumonitis,6
AIDS,A789A,HIV disease resulting in wasting syndrome,6
AIDS,A789X,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc tissu",6
AIDS,AyuC.,[X]Human immunodeficiency virus disease,6
AIDS,AyuC0,[X]HIV disease resulting in other bacterial infections,6
AIDS,AyuC1,[X]HIV disease resulting in other viral infections,6
AIDS,AyuC2,[X]HIV disease resulting in other mycoses,6
AIDS,AyuC3,[X]HIV disease resulting in multiple infections,6
AIDS,AyuC4,[X]HIV disease resulting/other infectious diseases,6
AIDS,AyuC5,[X]HIV disease resulting/unspcf infectious disease,6
AIDS,AyuC5,HIV disease resulting/unspcf infectious disease,6
AIDS,AyuC6,[X]HIV disease resulting in other non-Hodgkin's lymphoma,6
AIDS,AyuC7,"[X]HIV dis reslt/oth mal neopl/lymph,h'matopoetc tissu",6
AIDS,AyuC7,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc tissu",6
AIDS,AyuC8,[X]HIV disease resulting in other malignant neoplasms,6
AIDS,AyuC9,[X]HIV disease resulting in unspecified malignant neoplasm,6
AIDS,AyuC9,HIV disease resulting in unspecified malignant neoplasm,6
AIDS,AyuCA,[X]HIV disease resulting in multiple diseases CE,6
AIDS,AyuCA,HIV disease resulting in multiple diseases CE,6
AIDS,AyuCB,"[X]HIV disease result/haematological abnorms,NEC",6
AIDS,AyuCB,"HIV disease result/haematological abnorms,NEC",6
AIDS,AyuCC,[X]HIV disease resulting in other specified conditions,6
AIDS,AyuCD,[X]Unspecified human immunodeficiency virus [HIV] disease,6
AIDS,X70M6,Acquired immune deficiency syndrome,6
AIDS,X70O1,HIV disease resulting in wasting syndrome,6
AIDS,XE0RX,Acquired immune deficiency syndrome,6
cancer,B....,Cancers,2
cancer,B0...,"Carcinoma of lip, oral cavity and pharynx",2
cancer,B00..,Malignant neoplasm of lip,2
cancer,B000.,"Malignant neoplasm of upper lip, vermilion border",2
cancer,B0000,"Malignant neoplasm of upper lip, external",2
cancer,B0001,"Malignant neoplasm of upper lip, lipstick area",2
cancer,B000z,"Malignant neoplasm of upper lip, vermilion border NOS",2
cancer,B001.,"Malignant neoplasm of lower lip, vermilion border",2
cancer,B0010,"Malignant neoplasm of lower lip, external",2
cancer,B0011,"Malignant neoplasm of lower lip, lipstick area",2
cancer,B0011,"Malignant neoplasm of lower lip, vermilion border",2
cancer,B001z,"Malignant neoplasm of lower lip, vermilion border NOS",2
cancer,B002.,"Malignant neoplasm of upper lip, inner aspect",2
cancer,B002.,"Malignant neoplasm of upper lip, mucosa",2
cancer,B002.,"Malignant neoplasm of upper lip, oral aspect",2
cancer,B0020,"Malignant neoplasm of upper lip, buccal aspect",2
cancer,B0021,"Malignant neoplasm of upper lip, frenulum",2
cancer,B0022,"Malignant neoplasm of upper lip, mucosa",2
cancer,B0023,"Malignant neoplasm of upper lip, oral aspect",2
cancer,B002z,"Malignant neoplasm of upper lip, inner aspect NOS",2
cancer,B003.,"Malignant neoplasm of lower lip, inner aspect",2
cancer,B0030,"Malignant neoplasm of lower lip, buccal aspect",2
cancer,B0031,"Malignant neoplasm of lower lip, frenulum",2
cancer,B0032,"Malignant neoplasm of lower lip, mucosa",2
cancer,B0033,"Malignant neoplasm of lower lip, oral aspect",2
cancer,B003z,"Malignant neoplasm of lower lip, inner aspect NOS",2
cancer,B004.,"Malignant neoplasm of lip unspecified, inner aspect",2
cancer,B0040,"Malignant neoplasm of lip unspecified, buccal aspect",2
cancer,B0041,"Malignant neoplasm of lip unspecified, frenulum",2
cancer,B0042,"Malignant neoplasm of lip unspecified, buccal aspect",2
cancer,B0042,"Malignant neoplasm of lip unspecified, mucosa",2
cancer,B0043,"Malignant neoplasm of lip, oral aspect",2
cancer,B004z,"Malignant neoplasm of lip, inner aspect NOS",2
cancer,B005.,Malignant neoplasm of commissure of lip,2
cancer,B006.,Malignant neoplasm of overlapping lesion of lip,2
cancer,B007.,"Malignant neoplasm of lip, unspecified",2
cancer,B00y.,Malignant neoplasm of other sites of lip,2
cancer,B00z.,Malignant neoplasm of vermilion border of lip unspecified,2
cancer,B00z0,"Malignant neoplasm of lip, unspecified, external",2
cancer,B00z1,"Malignant neoplasm of lip, unspecified, lipstick area",2
cancer,B00zz,"Malignant neoplasm of lip, vermilion border NOS",2
cancer,B01..,Malignant neoplasm of tongue,2
cancer,B010.,Malignant neoplasm of base of tongue,2
cancer,B0100,Malignant neoplasm of base of tongue dorsal surface,2
cancer,B010z,Malignant neoplasm of fixed part of tongue NOS,2
cancer,B011.,Malignant neoplasm of dorsal surface of tongue,2
cancer,B0110,Malignant neoplasm of anterior 2/3 of tongue dorsal surface,2
cancer,B0111,Malignant neoplasm of midline of tongue,2
cancer,B011z,Malignant neoplasm of dorsum of tongue NOS,2
cancer,B012.,"Malignant neoplasm of tongue, tip and lateral border",2
cancer,B013.,Malignant neoplasm of ventral surface of tongue,2
cancer,B0130,Malignant neoplasm of anterior 2/3 of tongue ventral surface,2
cancer,B0131,Malignant neoplasm of frenulum linguae,2
cancer,B013z,Malignant neoplasm of ventral tongue surface NOS,2
cancer,B014.,Malignant neoplasm of anterior 2/3 of tongue unspecified,2
cancer,B015.,"Malignant neoplasm of tongue, junctional zone",2
cancer,B016.,Malignant neoplasm of lingual tonsil,2
cancer,B017.,Malignant overlapping lesion of tongue,2
cancer,B01y.,Malignant neoplasm of other sites of tongue,2
cancer,B01z.,Malignant neoplasm of tongue NOS,2
cancer,B02..,Malignant neoplasm of major salivary glands,2
cancer,B020.,Malignant neoplasm of parotid gland,2
cancer,B021.,Malignant neoplasm of submandibular gland,2
cancer,B022.,Malignant neoplasm of sublingual gland,2
