Allergic condition,Read code,Term
anaphylaxis,14M5.,H/O: anaphylactic shock
anaphylaxis,66G8.,Carries adrenaline preloaded injection pen
anaphylaxis,D3100,Anaphylactoid purpura
anaphylaxis,K0323,Anaphylactoid glomerulonephritis
anaphylaxis,SN50.,Anaphylactic shock
anaphylaxis,SN500,Anaphylactic shock due to adverse food reaction
anaphylaxis,SN501,Anaphylactic shock due to adverse effect of correct drug or medicament properly administered
anaphylaxis,SN593,Anaphylactic shock due to bee sting
anaphylaxis,SN594,Anaphylactic shock due to wasp sting
anaphylaxis,SP0G.,Anaphylactoid reaction due to haemodialysis
anaphylaxis,SP34.,Anaphylactic shock due to serum
anaphylaxis,X208h,Anaphylactoid shock
anaphylaxis,X30Lt,Anaphylactoid reaction to dialysis
anaphylaxis,X70vi,Venom-induced anaphylaxis
anaphylaxis,X70vj,Bee sting-induced anaphylaxis
anaphylaxis,X70vk,Wasp sting-induced anaphylaxis
anaphylaxis,X70vl,Blood product-induced anaphylaxis
anaphylaxis,X70vm,Food-induced anaphylaxis
anaphylaxis,X70vn,Peanut-induced anaphylaxis
anaphylaxis,X70vo,Seafood-induced anaphylaxis
anaphylaxis,X70vp,Egg white-induced anaphylaxis
anaphylaxis,X70vq,Cow's milk protein-induced anaphylaxis
anaphylaxis,X70vr,Drug-induced anaphylaxis
anaphylaxis,X70vs,Penicillin-induced anaphylaxis
anaphylaxis,X70vt,Insulin-induced anaphylaxis
anaphylaxis,X70vu,Human protein-induced anaphylaxis
anaphylaxis,X70vv,Seminal fluid-induced anaphylaxis
anaphylaxis,X70vw,Aeroallergen-induced anaphylaxis
anaphylaxis,X70vy,Blood and blood product-induced anaphylactoid reaction
anaphylaxis,X70vz,Whole blood-induced anaphylactoid reaction
anaphylaxis,X70w0,Immunoglobulin-induced anaphylactoid reaction
anaphylaxis,X70w1,Food-induced anaphylactoid reaction
anaphylaxis,X70w2,Drug-induced anaphylactoid reaction
anaphylaxis,X70w3,NSAID-induced anaphylactoid reaction
anaphylaxis,X70w4,Aspirin-induced anaphylactoid reaction
anaphylaxis,X70w5,Ionic compound-induced anaphylactoid reaction
anaphylaxis,X70w6,Dialysis membrane-induced anaphylactoid reaction
anaphylaxis,X70w7,Exercise anaphylaxis
anaphylaxis,X70w8,Cholinergic anaphylactoid reaction
anaphylaxis,X70w9,Idiopathic anaphylaxis
anaphylaxis,XaG0G,[V]Personal history of food induced anaphylaxis
anaphylaxis,XaIPo,Carries adrenaline preloaded injection pen
anaphylaxis,XaL31,H/O: anaphylactic shock
anaphylaxis,XaZmp,Anaphylactoid reaction due to haemodialysis
anaphylaxis,ZV1B3,[V]Personal history of food induced anaphylaxis
angioedema or urticaria,C3760,Hereditary angio-oedema
angioedema or urticaria,M12A2,Solar urticaria
angioedema or urticaria,M28..,Urticaria
angioedema or urticaria,M280.,Allergic urticaria
angioedema or urticaria,M281.,Idiopathic urticaria
angioedema or urticaria,M282.,Urticaria due to cold and heat
angioedema or urticaria,M2820,Cold urticaria
angioedema or urticaria,M2821,Thermal urticaria
angioedema or urticaria,M282z,Urticaria due to cold and heat NOS
angioedema or urticaria,M283.,Dermatographic urticaria
angioedema or urticaria,M284.,Vibratory urticaria
angioedema or urticaria,M285.,Cholinergic urticaria
angioedema or urticaria,M286.,Contact urticaria
angioedema or urticaria,M287.,Physical urticaria
angioedema or urticaria,M28y.,Other specified urticaria
angioedema or urticaria,M28y0,Urticaria geographica
angioedema or urticaria,M28y1,Menstrual urticaria
angioedema or urticaria,M28y2,Urticaria persistans
angioedema or urticaria,M28yz,Other specified urticaria NOS
angioedema or urticaria,M28z.,Urticaria NOS
angioedema or urticaria,Myu4.,[X]Urticaria and erythema
angioedema or urticaria,Myu40,[X]Other urticaria
angioedema or urticaria,Myu42,[X]Other chronic figurate erythema
angioedema or urticaria,PH321,Urticaria pigmentosa
angioedema or urticaria,Q47y0,Urticaria neonatorum
angioedema or urticaria,SN51.,Angioneurotic oedema
angioedema or urticaria,SN510,Acquired C1 esterase inhibitor deficiency
angioedema or urticaria,SN511,Hereditary C1 esterase inhibitor deficiency
angioedema or urticaria,SP354,Urticaria due to serum
angioedema or urticaria,X20IJ,Hereditary C1 esterase inhibitor defic - deficient factor
angioedema or urticaria,X20IK,Hereditary C1 esterase inhib defic - dysfunctional factor
angioedema or urticaria,X504R,Cold erythema - disorder
angioedema or urticaria,X5050,Solar urticaria
angioedema or urticaria,X506B,Non-immunological contact urticaria
angioedema or urticaria,X508a,Vibratory angio-oedema
angioedema or urticaria,X508b,Aquagenic urticaria
angioedema or urticaria,X508c,Aquagenic pruritus
angioedema or urticaria,X508e,Immune complex urticaria
angioedema or urticaria,X508N,Drug-induced urticaria
angioedema or urticaria,X508O,Erythema fugax
angioedema or urticaria,X508P,Physical urticaria
angioedema or urticaria,X508Q,Symptomatic dermographism
angioedema or urticaria,X508R,Delayed dermographism
