cat2,read_term,read_code
anaphylaxis,H/O: anaphylactic shock,14M5.
anaphylaxis,H/O: anaphylactic shock,XaL31
anaphylaxis,Anaphylactoid purpura,D3100
anaphylaxis,Anaphylactoid glomerulonephritis,K0323
anaphylaxis,Anaphylactic shock,SN50.
anaphylaxis,Anaphylactic shock due to adverse food reaction,SN500
anaphylaxis,Anaphylactic shock due to adverse effect of correct drug or medicament properly administered,SN501
anaphylaxis,Anaphylactic shock due to bee sting,SN593
anaphylaxis,Anaphylactic shock due to wasp sting,SN594
anaphylaxis,Anaphylactoid reaction due to haemodialysis,SP0G.
anaphylaxis,Anaphylactoid reaction due to haemodialysis,XaZmp
anaphylaxis,Anaphylactic shock due to serum,SP34.
anaphylaxis,[V]Personal history of food induced anaphylaxis,ZV1B3
anaphylaxis,[V]Personal history of food induced anaphylaxis,XaG0G
anaphylaxis,Anaphylactoid shock,X208h
anaphylaxis,Anaphylactoid reaction to dialysis,X30Lt
anaphylaxis,Venom-induced anaphylaxis,X70vi
anaphylaxis,Bee sting-induced anaphylaxis,X70vj
anaphylaxis,Wasp sting-induced anaphylaxis,X70vk
anaphylaxis,Blood product-induced anaphylaxis,X70vl
anaphylaxis,Food-induced anaphylaxis,X70vm
anaphylaxis,Peanut-induced anaphylaxis,X70vn
anaphylaxis,Seafood-induced anaphylaxis,X70vo
anaphylaxis,Egg white-induced anaphylaxis,X70vp
anaphylaxis,Cow's milk protein-induced anaphylaxis,X70vq
anaphylaxis,Drug-induced anaphylaxis,X70vr
anaphylaxis,Penicillin-induced anaphylaxis,X70vs
anaphylaxis,Insulin-induced anaphylaxis,X70vt
anaphylaxis,Human protein-induced anaphylaxis,X70vu
anaphylaxis,Seminal fluid-induced anaphylaxis,X70vv
anaphylaxis,Aeroallergen-induced anaphylaxis,X70vw
anaphylaxis,Blood and blood product-induced anaphylactoid reaction,X70vy
anaphylaxis,Whole blood-induced anaphylactoid reaction,X70vz
anaphylaxis,Immunoglobulin-induced anaphylactoid reaction,X70w0
anaphylaxis,Food-induced anaphylactoid reaction,X70w1
anaphylaxis,Drug-induced anaphylactoid reaction,X70w2
anaphylaxis,NSAID-induced anaphylactoid reaction,X70w3
anaphylaxis,Aspirin-induced anaphylactoid reaction,X70w4
anaphylaxis,Ionic compound-induced anaphylactoid reaction,X70w5
anaphylaxis,Dialysis membrane-induced anaphylactoid reaction,X70w6
anaphylaxis,Exercise anaphylaxis,X70w7
anaphylaxis,Cholinergic anaphylactoid reaction,X70w8
anaphylaxis,Idiopathic anaphylaxis,X70w9
angioedema or urticaria,Hereditary angio-oedema,C3760
angioedema or urticaria,Angioneurotic oedema,SN51.
angioedema or urticaria,Acquired C1 esterase inhibitor deficiency,SN510
angioedema or urticaria,Acquired C1 esterase inhibitor deficiency,X70wB
angioedema or urticaria,Hereditary C1 esterase inhibitor deficiency,SN511
angioedema or urticaria,Hereditary C1 esterase inhibitor defic - deficient factor,X20IJ
angioedema or urticaria,Hereditary C1 esterase inhib defic - dysfunctional factor,X20IK
angioedema or urticaria,Vibratory angio-oedema,X508a
angioedema or urticaria,Venom-induced angio-oedema-urticaria,X70wC
angioedema or urticaria,Food-induced angio-oedema-urticaria,X70wD
angioedema or urticaria,Drug-aggravated angio-oedema-urticaria,X70wE
angioedema or urticaria,NSAID-induced angio-oedema-urticaria,X70wF
angioedema or urticaria,Aspirin-induced angio-oedema-urticaria,X70wG
angioedema or urticaria,ACE inhibitor-aggravated angio-oedema-urticaria,X70wH
angioedema or urticaria,Chemical-aggravated angio-oedema-urticaria,X70wI
angioedema or urticaria,Azo-dye-induced angio-oedema-urticaria,X70wJ
angioedema or urticaria,Sodium benzoate-induced angio-oedema-urticaria,X70wK
angioedema or urticaria,Latex-induced angio-oedema-urticaria,X70wL
angioedema or urticaria,Penicillin-induced angio-oedema-urticaria,Xa0WK
angioedema or urticaria,Urticaria,M28..
angioedema or urticaria,Allergic urticaria,M280.
angioedema or urticaria,Allergic urticaria,XE1BR
angioedema or urticaria,Idiopathic urticaria,M281.
angioedema or urticaria,Urticaria due to cold and heat,M282.
angioedema or urticaria,Cold urticaria,M2820
angioedema or urticaria,Thermal urticaria,M2821
angioedema or urticaria,Urticaria due to cold and heat NOS,M282z
angioedema or urticaria,Dermatographic urticaria,M283.
angioedema or urticaria,Vibratory urticaria,M284.
angioedema or urticaria,Cholinergic urticaria,M285.
angioedema or urticaria,Contact urticaria,M286.
angioedema or urticaria,Physical urticaria,M287.
angioedema or urticaria,Physical urticaria,X508P
angioedema or urticaria,Other specified urticaria,M28y.
angioedema or urticaria,Other specified urticaria,XE1BS
angioedema or urticaria,Urticaria geographica,M28y0
angioedema or urticaria,Menstrual urticaria,M28y1
angioedema or urticaria,Urticaria persistans,M28y2
angioedema or urticaria,Other specified urticaria NOS,M28yz
angioedema or urticaria,Urticaria NOS,M28z.
angioedema or urticaria,Urticaria NOS,XE1BT
angioedema or urticaria,[X]Urticaria and erythema,Myu4.
angioedema or urticaria,[X]Other urticaria,Myu40
angioedema or urticaria,[X]Other chronic figurate erythema,Myu42
angioedema or urticaria,Urticaria pigmentosa,PH321
angioedema or urticaria,Urticaria neonatorum,Q47y0
angioedema or urticaria,Urticaria due to serum,SP354
angioedema or urticaria,Cold erythema - disorder,X504R
angioedema or urticaria,Solar urticaria,X5050
angioedema or urticaria,Non-immunological contact urticaria,X506B
angioedema or urticaria,Drug-induced urticaria,X508N
angioedema or urticaria,Erythema fugax,X508O
angioedema or urticaria,Symptomatic dermographism,X508Q
angioedema or urticaria,Delayed dermographism,X508R
angioedema or urticaria,Delayed pressure urticaria,X508S
