Allergy prescription,Read code,Term
adrenaline,bp1..,adrenaline [cardiovascular use]
adrenaline,bp11.,adrenaline 500micrograms injection
adrenaline,bp12.,adrenaline 1mg/ml injection
adrenaline,bp18.,adrenaline ic 1mg/10ml injection
adrenaline,bp19.,adrenaline 1mg/10ml injection
adrenaline,bp1a.,adrenaline 300microgram/3ml injection
adrenaline,bp1A.,epipen 300micrograms/0.3ml preloaded injection pen
adrenaline,bp1b.,adrenaline 1:1000 5mg/5ml injection
adrenaline,bp1B.,epipen jr 150micrograms/0.3ml preloaded injection pen
adrenaline,bp1C.,adrenaline 300micrograms/0.3ml preloaded injection pen
adrenaline,bp1D.,adrenaline 150micrograms/0.3ml preloaded injection pen
adrenaline,bp1G.,anapen 300micrograms/0.3ml preloaded injection pen
adrenaline,bp1H.,anapen junior 150micrograms/0.3ml preloaded injection pen
adrenaline,bp1I.,anapen 500micrograms/0.3ml preloaded injection pen
adrenaline,bp1J.,adrenaline 500micrograms/0.3ml preloaded injection pen
adrenaline,bp1K.,jext 150micrograms/0.15ml soln for injection prefilled pen
adrenaline,bp1L.,adrenaline 150micrograms/0.15ml preloaded injection pen
adrenaline,bp1M.,jext 300micrograms/0.3ml soln for injection prefilled pen
adrenaline,bp1N.,emerade 150micrograms/0.15ml soln for inj prefilled pen
adrenaline,bp1O.,emerade 300micrograms/0.3ml soln for injection prefilled pen
adrenaline,bp1P.,emerade 500micrograms/0.5ml soln for injection prefilled pen
adrenaline,bp1Q.,"adrenaline 1:10,000 1mg/10ml soln for inj prefilled syringe"
adrenaline,bp1R.,"adrenaline 1:10,000 100micrograms/1ml solution for injection"
adrenaline,bp1S.,"adrenaline 1:10,000 500micrograms/5ml solution for injection"
adrenaline,bp1x.,"adrenaline 1:10,000 100micrograms/1ml prefilled syringe"
adrenaline,bp1y.,adrenaline 1:1000 1mg/1ml prefilled syringe
adrenaline,bp1z.,adrenaline 1:1000 5mg/5ml prefilled syringe
adrenaline,x02bV,epipen
adrenaline,x02bW,epipen jr
adrenaline,x05Xw,anapen
adrenaline,x05Xx,anapen junior
eczema preparations,g451.,nizoral 2% cream 15g
eczema preparations,m41..,hydrocortisone creams
eczema preparations,m411.,hydrocortisone 1% cream 15g
eczema preparations,m412.,hydrocortisone 1% cream 30g
eczema preparations,m413.,hydrocortisone 1% cream 50g
eczema preparations,m414.,hydrocortisone 1% cream 100g
eczema preparations,m415.,hydrocortisone 0.1% cream 30g
eczema preparations,m416.,hydrocortisone 0.125% cream
eczema preparations,m417.,hydrocortisone 0.5% cream 15g
eczema preparations,m418.,hydrocortisone 0.5% cream 30g
eczema preparations,m419.,hydrocortisone 0.5% cream 50g
eczema preparations,m41a.,hydrocortisone 0.5% cream 100g
eczema preparations,m41A.,hydrocortisone 2.5% cream 15g
eczema preparations,m41b.,hydrocortisone 2.5% cream
eczema preparations,m41B.,hydrocortisone 2.5% cream 30g
eczema preparations,m41C.,hydrocortisone 2.5% cream 50g
eczema preparations,m41D.,hydrocortisone 1% aqueous cream
eczema preparations,m41e.,dioderm 0.1% cream 30g
eczema preparations,m41f.,dome-cort 0.125% cream
eczema preparations,m41g.,efcortelan 0.5% cream 15g
eczema preparations,m41h.,efcortelan p 1% cream 15g
eczema preparations,m41i.,efcortelan 1% cream 50g
eczema preparations,m41j.,efcortelan 2.5% cream 15g
eczema preparations,m41k.,hydrocortistab 1% cream 15g
eczema preparations,m41l.,hydrocortisyl 1% cream 15g
eczema preparations,m41m.,mildison lipocream 1% cream 30g
eczema preparations,m41n.,efcortelan 0.5% cream 30g
eczema preparations,m41o.,efcortelan 1% cream 30g
eczema preparations,m41p.,efcortelan 2.5% cream 30g
eczema preparations,m41q.,dermacort cream
eczema preparations,m41r.,hc45 cream
eczema preparations,m41s.,kerfoot hydrocortisone cream
eczema preparations,m41t.,dayleve 0.1% cream 15g
eczema preparations,m41u.,hydrocortisone 0.1% cream
eczema preparations,m41v.,zenoxone 1% aqueous cream
eczema preparations,m41w.,exe-cort hydrocortisone 1% cream 15g
eczema preparations,m42..,hydrocortisone ointments
eczema preparations,m421.,hydrocortisone 0.5% ointment 15g
eczema preparations,m422.,hydrocortisone 1% ointment 15g
eczema preparations,m423.,hydrocortisone 1% ointment 30g
eczema preparations,m424.,hydrocortisone 1% ointment 100g
eczema preparations,m425.,efcortelan 0.5% ointment 15g
eczema preparations,m426.,efcortelan p 1% ointment 15g
eczema preparations,m427.,efcortelan 1% ointment 50g
eczema preparations,m428.,efcortelan 2.5% ointment 15g
eczema preparations,m429.,hydrocortistab 1% ointment 15g
eczema preparations,m42a.,hydrocortisyl 1% ointment 15g
eczema preparations,m42A.,hydrocortisone 2.5% ointment 15g
eczema preparations,m42b.,hydrocortisone 2.5% ointment
eczema preparations,m42B.,hydrocortisone 2.5% ointment 30g
eczema preparations,m42c.,efcortelan 0.5% ointment 30g
eczema preparations,m42C.,hydrocortisone 2.5% ointment 50g
eczema preparations,m42d.,efcortelan 1% ointment 30g
eczema preparations,m42D.,hydrocortisone 1% ointment 50g
eczema preparations,m42e.,efcortelan 2.5% ointment 30g
eczema preparations,m42f.,lanacort ointment
eczema preparations,m42g.,hydrocortisone acetate 1% ointment
eczema preparations,m431.,hydrocortisone 1% lotion
eczema preparations,m432.,efcortelan 1% lotion 20ml
eczema preparations,m441.,alphaderm cream 30g
eczema preparations,m442.,alphaderm cream 100g
eczema preparations,m44z.,hydrocortisone+urea 1%/10% cream
eczema preparations,m452.,barquinol-hc cream 15g
eczema preparations,m453.,canesten-hc cream 30g
eczema preparations,m454.,daktacort cream 30g
eczema preparations,m455.,econacort cream 30g
eczema preparations,m45C.,daktacort hc cream 15g
eczema preparations,m45f.,gregoderm ointment 4g
eczema preparations,m45g.,gregoderm ointment 15g
eczema preparations,m45H.,hydrocortisone+clioquinol 1%/3% ointment
eczema preparations,m45j.,nystaform-hc 0.5% cream 15g
eczema preparations,m45J.,hydrocortisone+clioquinol 1%/3% cream
eczema preparations,m45k.,nystaform-hc 0.5% cream 30g
eczema preparations,m45l.,nystaform-hc 1% ointment 30g
eczema preparations,m45n.,terra-cortril ointment 15g
eczema preparations,m45o.,terra-cortril ointment 30g
eczema preparations,m45r.,terra-cortril nystatin cream 30g
eczema preparations,m45s.,timodine cream 30g
eczema preparations,m45t.,vioform-hydrocortisone cream 30g
eczema preparations,m45u.,vioform-hydrocortisone ointment 30g
eczema preparations,m45v.,daktacort ointment 30g
eczema preparations,m45w.,canesten hydrocortisone cream 15g
