read_code,read_term,cat2,cat1
a61..,cimetidine,h2-antagonist,comorbidity prescription
a611.,tagamet 200mg tablets,h2-antagonist,comorbidity prescription
a612.,tagamet 400mg tablets,h2-antagonist,comorbidity prescription
a613.,tagamet 800mg tablets,h2-antagonist,comorbidity prescription
a614.,tagamet 200mg/5ml syrup,h2-antagonist,comorbidity prescription
a617.,dyspamet chewtab 200mg chewable tablets,h2-antagonist,comorbidity prescription
a618.,dyspamet 200mg/5ml suspension,h2-antagonist,comorbidity prescription
a619.,cimetidine 200mg/5ml suspension 600ml,h2-antagonist,comorbidity prescription
a61A.,galenamet 200mg tablets,h2-antagonist,comorbidity prescription
a61B.,galenamet 400mg tablets,h2-antagonist,comorbidity prescription
a61C.,galenamet 800mg tablets,h2-antagonist,comorbidity prescription
a61D.,cimetidine 400mg effervescent tablets,h2-antagonist,comorbidity prescription
a61E.,cimetidine 200mg chewable tablets,h2-antagonist,comorbidity prescription
a61F.,phimetin 200mg tablets,h2-antagonist,comorbidity prescription
a61G.,phimetin 400mg tablets,h2-antagonist,comorbidity prescription
a61H.,phimetin 800mg tablets,h2-antagonist,comorbidity prescription
a61I.,cimetidine 200mg/5ml sugar free oral solution,h2-antagonist,comorbidity prescription
a61K.,zita 200mg tablets,h2-antagonist,comorbidity prescription
a61L.,zita 400mg tablets,h2-antagonist,comorbidity prescription
a61M.,zita 800mg tablets,h2-antagonist,comorbidity prescription
a61N.,ultec 200mg tablets,h2-antagonist,comorbidity prescription
a61O.,ultec 400mg tablets,h2-antagonist,comorbidity prescription
a61P.,ultec 800mg tablets,h2-antagonist,comorbidity prescription
a61Q.,acitak-200 tablets,h2-antagonist,comorbidity prescription
a61R.,acitak-400 tablets,h2-antagonist,comorbidity prescription
a61S.,acitak-800 tablets,h2-antagonist,comorbidity prescription
a61T.,tagamet dual action liquid 200ml,h2-antagonist,comorbidity prescription
a61U.,tagamet dual action liquid 600ml,h2-antagonist,comorbidity prescription
a61a.,algitec 200mg/500mg chewable tablets,h2-antagonist,comorbidity prescription
a61b.,algitec 100mg/250mg/5ml suspension 600ml,h2-antagonist,comorbidity prescription
a61c.,cimetidine compound suspension,h2-antagonist,comorbidity prescription
a61d.,tagamet effervescent 400mg tablets,h2-antagonist,comorbidity prescription
a61e.,peptimax 200mg tablets,h2-antagonist,comorbidity prescription
a61f.,peptimax 400mg tablets,h2-antagonist,comorbidity prescription
a61g.,peptimax 800mg tablets,h2-antagonist,comorbidity prescription
a61s.,cimetidine+alginic acid 200mg/500mg chewable tablets,h2-antagonist,comorbidity prescription
a61t.,cimetidine+sodium alginate 100/250mg/5ml suspension,h2-antagonist,comorbidity prescription
a61u.,cimetidine 200mg tablets,h2-antagonist,comorbidity prescription
a61v.,cimetidine 400mg tablets,h2-antagonist,comorbidity prescription
a61w.,cimetidine 800mg tablets,h2-antagonist,comorbidity prescription
a61x.,cimetidine 200mg/5ml syrup,h2-antagonist,comorbidity prescription
a62..,ranitidine,h2-antagonist,comorbidity prescription
a621.,zantac 150mg tablets,h2-antagonist,comorbidity prescription
a622.,zantac 150mg dispersible tablets,h2-antagonist,comorbidity prescription
a623.,zantac 300mg tablets,h2-antagonist,comorbidity prescription
a625.,zantac 150mg/10ml sugar free syrup 300ml,h2-antagonist,comorbidity prescription
a626.,zantac effervescent 150mg tablets,h2-antagonist,comorbidity prescription
a627.,zantac effervescent 300mg tablets,h2-antagonist,comorbidity prescription
a628.,ranitidine 150mg effervescent tablets,h2-antagonist,comorbidity prescription
a629.,ranitidine 300mg effervescent tablets,h2-antagonist,comorbidity prescription
a62A.,raciran 150mg tablets,h2-antagonist,comorbidity prescription
a62B.,raciran 300mg tablets,h2-antagonist,comorbidity prescription
a62C.,zaedoc 150 tablets,h2-antagonist,comorbidity prescription
