Infection,Read code,Term
influenza,16L..,Influenza-like symptoms
influenza,4JUF.,Hum parainfluenza vir detected
influenza,F0308,Enceph due to influ-vir not id
influenza,F030A,Enceph due to influ-virus id
influenza,G5203,Acute myocarditis - influenzal
influenza,H0608,Acute haemophilus influenzae bronchitis
influenza,H060C,Acute parainfluenza virus bronchitis
influenza,H2...,Pneumonia and influenza
influenza,H222.,Haemophilus influenzae pneumonia
influenza,H27..,Influenza
influenza,H270.,Influenza with pneumonia
influenza,H270.,Influenzal pneumonia
influenza,H2700,Influenza with bronchopneumonia
influenza,H2701,"Influenza with pneumonia, influenza virus identified"
influenza,H270z,Influenza with pneumonia NOS
influenza,H271.,Influenza with other respiratory manifestation
influenza,H2710,Influenza with laryngitis
influenza,H2711,Influenza with pharyngitis
influenza,H271z,Influenza with respiratory manifestations NOS
influenza,H27y.,Influenza with other manifestations
influenza,H27y0,Influenza with encephalopathy
influenza,H27y1,Influenza with gastrointestinal tract involvement
influenza,H27yz,Influenza with other manifestations NOS
influenza,H27z.,Influenza NOS
influenza,H27z.,Influenza like illness
influenza,H27z.,(Influenza like illness) or (influenza NOS)
influenza,H29..,Avian influenza
influenza,H2A..,Infl due Infl A vir subtp H1N1
influenza,H2D..,Flu due to zoonotic virus
influenza,H2E..,Flu due to pandemic virus
influenza,H2F0.,Inflnza wth pmn due sesnl vir
influenza,H2Fz.,Influenza with other manifestations due to seasonal influenza virus
influenza,H2y..,Other specified pneumonia or influenza
influenza,H2z..,Pneumonia or influenza NOS
influenza,Hyu04,"[X]Flu+oth respiratory manifestations,'flu virus identified"
influenza,Hyu05,"[X]Influenza+other manifestations,influenza virus identified"
influenza,Hyu06,"[X]Influenza+oth respiratory manifestatns,virus not identifd"
influenza,Hyu07,"[X]Influenza with other manifestations, virus not identified"
influenza,X73lf,Influenza virus
influenza,X73lg,Influenza virus A and B
influenza,X73lh,Influenza virus A
influenza,X73li,Influenza virus B
influenza,X73lj,Influenza virus C
influenza,X73lJ,Paramyxovirus
influenza,X73lK,Parainfluenza virus type 1
influenza,X73lL,Parainfluenza virus type 2
influenza,X73lM,Parainfluenza virus type 3
influenza,X73lN,Parainfluenza virus type 4
influenza,Xa8VO,Parainfluenza virus
influenza,XaC1s,Encephalitis due to influenza
influenza,XaC2H,Encephalitis due to influenza-virus identified
influenza,XaEGX,Encephalitis due to influenza-specific virus not identified
influenza,XaeVK,Influenza due to zoonotic influenza virus
influenza,XaeVL,Influenza due to pandemic influenza virus
influenza,XaeVM,Influenza due to seasonal influenza virus
influenza,XaeVN,Influenza with pneumonia due to seasonal influenza virus
influenza,XaIBK,Influenza-like symptoms
influenza,XaMih,Avian influenza
influenza,XaPOk,Human parainfluenza virus detected
influenza,XaQQp,Influenza due to Influenza A virus subtype H1N1
influenza,XE0YK,Influenza NOS
influenza,XE0ZF,Pneumonia and influenza &/or pneumonia
