Read code,Term
65E20,Seasonal influenza vaccination given by other healthcare provider
65E21,First intranasal seasonal influenza vaccination given by other healthcare provider
65E22,Second intranasal seasonal influenza vaccination given by other healthcare provider
65E23,Second intramuscular seasonal influenza vaccination given by other healthcare provider
65E24,First intramuscular seasonal influenza vaccination given by other healthcare provider
65ED.,Seasonal influenza vaccination
65ED0,Seasonal influenza vaccination given by pharmacist
65ED1,Administration of first intranasal seasonal influenza vaccination
65ED2,Seasonal influenza vaccination given while hospital inpatient
65ED3,Administration of second intranasal seasonal influenza vaccination
65ED4,Administration of first inactivated seasonal influenza vaccination
65ED5,Administration of second inactivated seasonal influenza vaccination
65ED6,First intranasal seasonal influenza vaccination given by pharmacist
65ED7,Second intranasal seasonal influenza vaccination given by pharmacist
65ED8,First inactivated seasonal influenza vaccination given by pharmacist
65ED9,Second inactivated seasonal influenza vaccination given by pharmacist
n47..,INFLUENZA VACCINES
n471.,FLUVIRIN prefilled syringe 0.5mL
n472.,INFLUVAC SUB-UNIT prefilled syringe 0.5mL
n473.,INFLUVAC SUB-UNIT prefilled syringe 0.5mL
n474.,*INFLUVAC SUB-UNIT vials 5mL
n475.,*INFLUVAC SUB-UNIT vials 25mL
n476.,MFV-JECT prefilled syringe 0.5mL
n477.,INACTIVATED INFLUENZA VACCINE injection 0.5mL
n478.,INACTIVATED INFLUENZA VACCINE prefilled syringe 0.5mL
n479.,*INFLUENZA VACCINE vials 5mL
n47a.,*INFLUENZA VACCINE vials 25mL
n47b.,FLUZONE prefilled syringe 0.5mL
n47c.,*FLUZONE vials 5mL
n47C.,PREFLUCEL suspension for injection prefilled syringe 0.5mL
n47d.,FLUARIX VACCINE prefilled syringe
n47e.,BEGRIVAC VACCINE prefilled syringe 0.5mL
n47E.,INFLUENZA VACCINE (LIVE ATTENUATED) nasal suspension 0.2mL
n47f.,AGRIPPAL VACCINE prefilled syringe 0.5mL
n47g.,INACTIVATED INFLUENZA VACCINE (SPLIT VIRION) prefilled syringe 0.5mL
n47h.,INACTIVATED INFLUENZA VACCINE (SURFACE ANTIGEN SUB-UNIT) prefilled syringe 0.5mL
n47H.,FLUARIX TETRA suspension for injection prefill syringe 0.5mL
n47i.,INFLEXAL BERNA V prefilled syringe 0.5mL
n47I.,FLUENZ TETRA nasal spray suspension 0.2mL
n47j.,MASTAFLU prefilled syringe 0.5mL
n47k.,INFLEXAL V prefilled syringe 0.5mL
n47l.,INVIVAC prefilled syringe 0.5mL
n47m.,ENZIRA prefilled syringe 0.5mL
n47n.,VIROFLU prefilled syringe 0.5mL
n47o.,IMUVAC prefilled syringe 0.5mL
n47p.,INTANZA 15micrograms/strain susp for inj pfs 0.1mL
n47q.,INACT INFLUENZA VACC (SPLIT VIRION) 15mcg/strain pfs 0.1mL
n47v.,INACT INFLUENZA VACC (SPLIT VIRION) 9mcg/strain pfs 0.1mL
n47y.,INACTIVATED INFLUENZA VACCINE (SPLIT VIRION) prefilled syringe 0.25mL
n47z.,INACTIVATED INFLUENZA VACCINE (SURFACE ANTIGEN VIROSOME) prefilled syringe 0.5mL
x006a,Inactivated Influenza surface antigen sub-unit vaccine
x006Z,Inactivated Influenza split virion vaccine
x00Yd,Fluvirin vaccine prefilled syringe
x00Ye,Fluzone vaccine prefilled syringe
x00Yi,Inactivated Influenza (split virion) vaccine prefilled syringe
x00Yj,Inactivated Influenza (surface antigen sub-unit ) vaccine prefilled syringe
x00Yk,Influvac Sub-unit vaccine prefilled syringe
x00Yp,MFV-Ject vaccine prefilled syringe
x01LF,Influvac Sub-unit injection
x01LG,Fluzone injection vial
x03qt,Begrivac vaccine prefilled syringe
x05cg,Inflexal Berna V prefilled syringe
x05oa,MASTAFLU prefilled syringe
x05pY,Inflexal V prefilled syringe
x05vU,Invivac vaccine prefilled syringe
x05Y1,Agrippal vaccine prefilled syringe
x05yK,Enzira vaccine prefilled syringe
x05yO,Inactivated Influenza surface antigen virosome vaccine prefilled syringe
x05yP,Inactivated Influenza surface antigen virosome vaccine
x05zC,Viroflu prefilled syringe
Xaac3,Administration of first intranasal seasonal influenza vaccination
Xaac4,Administration of second intranasal seasonal influenza vaccination
Xaac7,First intranasal seasonal influenza vaccination given by other healthcare provider
Xaac8,Second intranasal seasonal influenza vaccination given by other healthcare provider
XaaZp,Seasonal influenza vaccination given while hospital inpatient
XabvT,Second intramuscular seasonal influenza vaccination given by other healthcare provider
Xac5J,First intramuscular seasonal influenza vaccination given by other healthcare provider
Xad9j,Administration of first inactivated seasonal influenza vaccination
Xad9k,Administration of second inactivated seasonal influenza vaccination
Xaeet,First intranasal seasonal influenza vaccination given by pharmacist
Xaeeu,Second intranasal seasonal influenza vaccination given by pharmacist
Xaeev,First inactivated seasonal influenza vaccination given by pharmacist
Xaeew,Second inactivated seasonal influenza vaccination given by pharmacist
XafhP,Seasonal influenza vaccination given by midwife
XafhQ,First inactivated seasonal influenza vaccination given by midwife
XafhR,Second inactivated seasonal influenza vaccination given by midwife
XaZ0d,Seasonal influenza vaccination
XaZ0e,Seasonal influenza vaccination given by other healthcare provider
XaZfY,Seasonal influenza vaccination given by pharmacist
