Read code,Term
p461.,*STANDARD PEAK FLOW meter
p462.,*LOW RANGE PEAK FLOW meter
p463.,*ADULT PEAK FLOW mouthpiece
p463.,Adult peak flow mouthpiece
p464.,*SMALL PEAK FLOW mouthpiece
p464.,Small peak flow meter mouthpiece
p465.,PEAK FLOW mouthpiece adaptor
p465.,Peak flow meter mouthpiece adaptor
p466.,PEAK FLOW METER mouthpiece
p466.,Peak flow meter mouthpiece
p467.,MINI WRIGHT standard peak flow meter
p468.,MINI WRIGHT low range peak flow meter
p469.,*MINI WRIGHT ADULT mouthpiece
p469.,Mini Wright adult mouthpiece
p46a.,*MINI WRIGHT SMALL mouthpiece
p46a.,Mini Wright small mouthpiece
p46A.,MINI-WRIGHT 3104708 low range peak flow meter
p46b.,MINI WRIGHT MOUTHPIECE adaptor
p46b.,Mini Wright mouthpiece adaptor
p46B.,VITALOGRAPH 43602 standard range peak flow meter
p46c.,VITALOGRAPH PULMO-AIDE standard peak flow meter
p46C.,VITALOGRAPH CHILD 43703 standard range peak flow meter
p46d.,VITALOGRAPH PULMO-AIDE low range peak flow meter
p46D.,VITALOGRAPH 43704 low range peak flow meter
p46e.,VITALOGRAPH PULMO-AIDE mouthpiece
p46e.,Vitalograph Pulmo-Aide mouthpiece
p46E.,STANDARD RANGE EN13826 peak flow meter
p46f.,FERRARIS 206 standard peak flow meter
p46F.,LOW RANGE EN13826 peak flow meter
p46g.,*FERRARIS PF mouthpiece
p46g.,Ferraris PF mouthpiece
p46G.,MICROPEAK MPE8200EU standard range peak flow meter
p46h.,FERRARIS 207 low range peak flow meter
p46H.,RESPIRONICS PERSONAL BEST 755EU standard range peak flow meter
p46i.,FERRARIS PF paediatric mouthpiece
p46i.,Ferraris PF paediatric mouthpiece
p46I.,RESPIRONICS PERSONAL BEST 756EU low range peak flow meter
p46j.,MINI WRIGHT universal mouthpiece
p46j.,Mini Wright mouthpiece
p46J.,AIRZONE 3130160 standard range peak flow meter
p46k.,FERRARIS PF standard mouthpiece
p46k.,Ferraris PF standard mouthpiece
p46K.,VITALOGRAPH ASMA-1 40000 peak flow meter
p46L.,FYNE DYNAMICS PINNACLE 72000EU standard peak flow meter
p46m.,ASMAPLAN standard peak flow meter
p46M.,PERSONALBEST 1022973 standard range peak flow meter
p46n.,MINI WRIGHT Aerodynamic Flow System low range peak flow meter
p46N.,MEDI 60482 standard range peak flow meter
p46O.,MEDI 60536 low range peak flow meter
p46p.,FERRARIS POCKETPEAK 208 standard peak flow meter
p46P.,VITALOGRAPH MYPEF 43950 standard range peak flow meter
p46q.,FERRARIS POCKETPEAK 209 low range peak flow meter
p46r.,FERRARIS POCKETPEAK peak flow meter universal mouthpiece
p46r.,Ferraris Pocketpeak peak flow meter universal mouthpiece
p46s.,PERSONAL BEST standard range peak flow meter
p46t.,PERSONAL BEST low range peak flow meter
p46u.,MICROPEAK MPE7200 standard range peak flow meter
p46v.,MICROPEAK PSA2200 peak flow meter universal mouthpiece
p46v.,MicroPeak PSA2200 peak flow meter universal mouthpiece
p46w.,PIKO-1 346005-EU electronic standard range peak flow meter
p46x.,POCKETPEAK 208(EU)/F standard range peak flow meter
p46y.,POCKETPEAK 209(EU)/F low range peak flow meter
p46z.,MINI-WRIGHT 3103388 standard range peak flow meter
x01UG,Replacement parts for peak flow meters
